NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGT1	942	5.384549617767334	-0.029078225	No	
row_1	GLUL	951	5.3313822746276855	0.009720661	No	
row_2	SEPHS2	1480	3.5000159740448	-0.0030179196	No	
row_3	SERINC5	4042	0.6280463337898254	-0.18557239	No	
row_4	SERINC3	4281	0.51783686876297	-0.19914344	No	
row_5	MRI1	4655	0.361951619386673	-0.22373374	No	
row_6	GLS	4660	0.3609815537929535	-0.2213595	No	
row_7	ADI1	4990	0.2525425851345062	-0.24354188	No	
row_8	SDSL	5455	0.13029108941555023	-0.27649507	No	
row_9	PSAT1	5473	0.12634511291980743	-0.27680433	No	
row_10	MTHFR	5942	0.024603866040706635	-0.3108306	No	
row_11	ASS1	6121	-5.663966876454651E-4	-0.32383716	No	
row_12	NOXRED1	7214	-0.20253317058086395	-0.40215975	No	
row_13	NAGS	7285	-0.2165652960538864	-0.40567654	No	
row_14	MTRR	7597	-0.28441208600997925	-0.4263078	No	
row_15	ASL	7789	-0.3404422402381897	-0.4377539	No	
row_16	SHMT1	8447	-0.5416387915611267	-0.48177552	No	
row_17	AASS	9085	-0.7622948884963989	-0.52270526	No	
row_18	SEPHS1	9502	-0.9404873251914978	-0.54616493	No	
row_19	PYCR2	9790	-1.069219946861267	-0.55924445	No	
row_20	BCAT2	10292	-1.349670648574829	-0.58589435	No	
row_21	CBS	10362	-1.3932310342788696	-0.58064586	No	
row_22	MTR	10536	-1.5142279863357544	-0.58210534	No	
row_23	CTH	10718	-1.6359666585922241	-0.5832503	No	
row_24	ILVBL	10727	-1.6412384510040283	-0.57171094	No	
row_25	CPS1	10991	-1.8819886445999146	-0.5770322	No	
row_26	ENOPH1	12249	-3.4879746437072754	-0.6431453	Yes	
row_27	PSPH	12410	-3.829859733581543	-0.62654865	Yes	
row_28	CAD	12501	-4.054720878601074	-0.6031744	Yes	
row_29	AASDHPPT	12712	-4.662208557128906	-0.5840838	Yes	
row_30	GLUD1	12771	-4.849153518676758	-0.55250186	Yes	
row_31	MTAP	12897	-5.317735195159912	-0.5223558	Yes	
row_32	APIP	13070	-6.187558650970459	-0.48921967	Yes	
row_33	MTHFD1	13197	-7.0123796463012695	-0.44662812	Yes	
row_34	BCAT1	13241	-7.327954292297363	-0.39563859	Yes	
row_35	ALDH18A1	13322	-8.144922256469727	-0.34131846	Yes	
row_36	SHMT2	13423	-9.255410194396973	-0.28025693	Yes	
row_37	PYCR1	13479	-10.143732070922852	-0.20934397	Yes	
row_38	GOT1	13611	-14.007121086120605	-0.1154468	Yes	
row_39	SRR	13654	-16.69672203063965	0.004824185	Yes	
