NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGLN3	246	12.759742736816406	0.016736228	No	
row_1	KYAT3	541	8.064810752868652	0.017139152	No	
row_2	KMO	582	7.6579461097717285	0.035090826	No	
row_3	GCLM	921	5.47340202331543	0.025192466	No	
row_4	GGT1	942	5.384549617767334	0.038411748	No	
row_5	GLUL	951	5.3313822746276855	0.052367505	No	
row_6	DDAH2	1235	4.237537860870361	0.043138094	No	
row_7	HSD17B10	1398	3.7185957431793213	0.041381627	No	
row_8	P4HB	1410	3.696835994720459	0.050658144	No	
row_9	SEPHS2	1480	3.5000159740448	0.055137124	No	
row_10	AZIN1	1952	2.564047336578369	0.027532283	No	
row_11	SLC25A13	2407	1.907334566116333	-6.1518967E-4	No	
row_12	IL4I1	3035	1.2987474203109741	-0.043131262	No	
row_13	NAT8L	4003	0.6461784839630127	-0.1124036	No	
row_14	SERINC5	4042	0.6280463337898254	-0.11348181	No	
row_15	QDPR	4083	0.605654776096344	-0.11476801	No	
row_16	SERINC3	4281	0.51783686876297	-0.12782687	No	
row_17	PIPOX	4298	0.5106821656227112	-0.12760913	No	
row_18	ATP7A	4377	0.4728771150112152	-0.132049	No	
row_19	DCT	4404	0.45942267775535583	-0.13270567	No	
row_20	HIBADH	4481	0.426559716463089	-0.13712497	No	
row_21	MRI1	4655	0.361951619386673	-0.14884605	No	
row_22	GLS	4660	0.3609815537929535	-0.14815517	No	
row_23	ADI1	4990	0.2525425851345062	-0.17163433	No	
row_24	CSAD	5120	0.2152155637741089	-0.18052348	No	
row_25	SDSL	5455	0.13029108941555023	-0.20470344	No	
row_26	PSAT1	5473	0.12634511291980743	-0.2056076	No	
row_27	SLC38A1	5490	0.12264499068260193	-0.20644838	No	
row_28	AZIN2	5811	0.05346636846661568	-0.22980946	No	
row_29	MTHFR	5942	0.024603866040706635	-0.23929204	No	
row_30	GCLC	5970	0.02038303017616272	-0.24121983	No	
row_31	ASS1	6121	-5.663966876454651E-4	-0.25223717	No	
row_32	MTHFS	6141	-0.0025174927432090044	-0.25362602	No	
row_33	FAH	6425	-0.04306207597255707	-0.2742975	No	
row_34	MCCC2	6481	-0.053494080901145935	-0.27819183	No	
row_35	SARDH	6702	-0.09378144890069962	-0.29409704	No	
row_36	OAT	6837	-0.1208948865532875	-0.30361077	No	
row_37	NOXRED1	7214	-0.20253317058086395	-0.33067894	No	
row_38	MSRA	7241	-0.20918023586273193	-0.3320183	No	
row_39	HIBCH	7267	-0.2141384482383728	-0.3332706	No	
row_40	NAGS	7285	-0.2165652960538864	-0.33392864	No	
row_41	NIT2	7459	-0.25421732664108276	-0.3459436	No	
row_42	MTRR	7597	-0.28441208600997925	-0.35523167	No	
row_43	AMT	7728	-0.32059353590011597	-0.36390683	No	
row_44	ASL	7789	-0.3404422402381897	-0.3673857	No	
row_45	HAAO	7791	-0.3419578969478607	-0.36652634	No	
row_46	GPT2	7883	-0.3648495376110077	-0.37221584	No	
row_47	AGMAT	7900	-0.3711911737918854	-0.37237862	No	
row_48	RIDA	7951	-0.38835856318473816	-0.37499216	No	
row_49	MMUT	8206	-0.4609149098396301	-0.3923935	No	
row_50	SHMT1	8447	-0.5416387915611267	-0.40854615	No	
row_51	SIRT4	8701	-0.6242682933807373	-0.4254284	No	
row_52	ARG2	8954	-0.7096101641654968	-0.44200438	No	
row_53	AASS	9085	-0.7622948884963989	-0.44947463	No	
row_54	SEPHS1	9502	-0.9404873251914978	-0.4774681	No	
row_55	EGLN1	9610	-0.9860608577728271	-0.48263836	No	
row_56	PYCR2	9790	-1.069219946861267	-0.49287084	No	
row_57	SMS	10141	-1.2614421844482422	-0.5151405	No	
row_58	BCAT2	10292	-1.349670648574829	-0.5224776	No	
row_59	CBS	10362	-1.3932310342788696	-0.5237457	No	
row_60	ACADSB	10521	-1.502565622329712	-0.53125346	No	
row_61	MTR	10536	-1.5142279863357544	-0.5281512	No	
row_62	CTH	10718	-1.6359666585922241	-0.53698456	No	
row_63	ILVBL	10727	-1.6412384510040283	-0.5330951	No	
row_64	CPS1	10991	-1.8819886445999146	-0.547281	No	
row_65	DPEP1	11112	-1.9830577373504639	-0.5506866	No	
row_66	BLMH	11220	-2.100709915161133	-0.5528162	No	
row_67	AFMID	11281	-2.149266242980957	-0.5513608	No	
row_68	GCSH	11561	-2.450496196746826	-0.56517124	No	
row_69	THAP4	11706	-2.6275839805603027	-0.5685816	No	
row_70	ACAT1	11799	-2.7477526664733887	-0.5678443	No	
row_71	ODC1	12016	-3.04431414604187	-0.5754069	Yes	
row_72	DDO	12023	-3.0513439178466797	-0.5675239	Yes	
row_73	GAD1	12031	-3.064833879470825	-0.5596776	Yes	
row_74	HMGCL	12079	-3.1670572757720947	-0.5544908	Yes	
row_75	NOS3	12148	-3.313178062438965	-0.550448	Yes	
row_76	GOT2	12241	-3.4793245792388916	-0.54771507	Yes	
row_77	ENOPH1	12249	-3.4879746437072754	-0.53871447	Yes	
row_78	KYAT1	12345	-3.6691012382507324	-0.53568417	Yes	
row_79	PSPH	12410	-3.829859733581543	-0.5299381	Yes	
row_80	CAD	12501	-4.054720878601074	-0.5254886	Yes	
row_81	SLC25A12	12523	-4.110299587249756	-0.5158188	Yes	
row_82	FPGS	12587	-4.287480354309082	-0.5087509	Yes	
row_83	ALDH4A1	12688	-4.582499027252197	-0.5035963	Yes	
row_84	AASDHPPT	12712	-4.662208557128906	-0.49256787	Yes	
row_85	GLUD1	12771	-4.849153518676758	-0.48360053	Yes	
row_86	MTAP	12897	-5.317735195159912	-0.47827673	Yes	
row_87	ATF4	12974	-5.673244476318359	-0.46838364	Yes	
row_88	RIMKLB	13037	-5.982646942138672	-0.4566181	Yes	
row_89	APIP	13070	-6.187558650970459	-0.4420898	Yes	
row_90	SLC39A8	13078	-6.258002758026123	-0.42553288	Yes	
row_91	AADAT	13096	-6.387563705444336	-0.4093571	Yes	
row_92	MCCC1	13172	-6.8759870529174805	-0.39610958	Yes	
row_93	MTHFD1	13197	-7.0123796463012695	-0.3787436	Yes	
row_94	GLDC	13209	-7.081973075866699	-0.3602328	Yes	
row_95	BCAT1	13241	-7.327954292297363	-0.34252018	Yes	
row_96	ALDH18A1	13322	-8.144922256469727	-0.32617843	Yes	
row_97	IVD	13348	-8.374679565429688	-0.3051697	Yes	
row_98	ALDH5A1	13361	-8.466371536254883	-0.28295588	Yes	
row_99	GSTZ1	13407	-8.987438201904297	-0.2617448	Yes	
row_100	SHMT2	13423	-9.255410194396973	-0.23759893	Yes	
row_101	UCP2	13454	-9.736507415771484	-0.21324256	Yes	
row_102	PYCR1	13479	-10.143732070922852	-0.18733458	Yes	
row_103	ALDH6A1	13567	-12.027310371398926	-0.16091634	Yes	
row_104	GOT1	13611	-14.007121086120605	-0.12586519	Yes	
row_105	KYNU	13630	-14.900291442871094	-0.08654108	Yes	
row_106	SRR	13654	-16.69672203063965	-0.042683795	Yes	
row_107	DGLUCY	13661	-17.397552490234375	0.004334078	Yes	
