NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A44	244	12.787240028381348	0.0035898995	No	
row_1	EGLN3	246	12.759742736816406	0.025066936	No	
row_2	UPB1	466	9.015170097351074	0.024130937	No	
row_3	PEPD	487	8.786062240600586	0.037494328	No	
row_4	KYAT3	541	8.064810752868652	0.047204122	No	
row_5	KMO	582	7.6579461097717285	0.057186145	No	
row_6	GCLM	921	5.47340202331543	0.041485913	No	
row_7	GGT1	942	5.384549617767334	0.049104247	No	
row_8	GLUL	951	5.3313822746276855	0.057518393	No	
row_9	DDAH2	1235	4.237537860870361	0.043789864	No	
row_10	HSD17B10	1398	3.7185957431793213	0.038114745	No	
row_11	P4HB	1410	3.696835994720459	0.04354679	No	
row_12	SEPHS2	1480	3.5000159740448	0.04436596	No	
row_13	AZIN1	1952	2.564047336578369	0.013936417	No	
row_14	SLC25A13	2407	1.907334566116333	-0.016347684	No	
row_15	RARS2	2572	1.722689151763916	-0.025541432	No	
row_16	IARS2	2591	1.706875205039978	-0.023986982	No	
row_17	PCCB	2983	1.3431358337402344	-0.050574552	No	
row_18	IL4I1	3035	1.2987474203109741	-0.052144844	No	
row_19	GARS1	3596	0.884673535823822	-0.09197907	No	
row_20	NAT8L	4003	0.6461784839630127	-0.120850794	No	
row_21	SERINC5	4042	0.6280463337898254	-0.12259447	No	
row_22	DLD	4082	0.6057978868484497	-0.12444952	No	
row_23	QDPR	4083	0.605654776096344	-0.12342659	No	
row_24	SERINC3	4281	0.51783686876297	-0.13709071	No	
row_25	PIPOX	4298	0.5106821656227112	-0.137409	No	
row_26	ACCS	4319	0.5011875629425049	-0.13803853	No	
row_27	ATP7A	4377	0.4728771150112152	-0.1414465	No	
row_28	VARS2	4390	0.46662232279777527	-0.14154398	No	
row_29	DCT	4404	0.45942267775535583	-0.14172745	No	
row_30	HIBADH	4481	0.426559716463089	-0.14661586	No	
row_31	MRI1	4655	0.361951619386673	-0.15877207	No	
row_32	GLS	4660	0.3609815537929535	-0.15845758	No	
row_33	CARS2	4746	0.3306206464767456	-0.16417223	No	
row_34	PARS2	4978	0.25776270031929016	-0.18078485	No	
row_35	ADI1	4990	0.2525425851345062	-0.18117012	No	
row_36	CSAD	5120	0.2152155637741089	-0.19032691	No	
row_37	MARS2	5226	0.18501710891723633	-0.1977635	No	
row_38	FARSA	5314	0.1644950956106186	-0.20390634	No	
row_39	SDSL	5455	0.13029108941555023	-0.21401839	No	
row_40	PSAT1	5473	0.12634511291980743	-0.21505961	No	
row_41	SLC38A1	5490	0.12264499068260193	-0.21603328	No	
row_42	AZIN2	5811	0.05346636846661568	-0.2395592	No	
row_43	MTHFR	5942	0.024603866040706635	-0.24911174	No	
row_44	GCLC	5970	0.02038303017616272	-0.25106993	No	
row_45	ASS1	6121	-5.663966876454651E-4	-0.26213908	No	
row_46	DARS2	6122	-5.852747708559036E-4	-0.2621381	No	
row_47	MTHFS	6141	-0.0025174927432090044	-0.26346228	No	
row_48	FAH	6425	-0.04306207597255707	-0.28427514	No	
row_49	MCCC2	6481	-0.053494080901145935	-0.28824383	No	
row_50	CTNS	6567	-0.07025179266929626	-0.29439825	No	
row_51	SARDH	6702	-0.09378144890069962	-0.30412915	No	
row_52	OAT	6837	-0.1208948865532875	-0.31381425	No	
row_53	GCAT	6846	-0.12293937057256699	-0.31419703	No	
row_54	NOXRED1	7214	-0.20253317058086395	-0.34093982	No	
row_55	MSRA	7241	-0.20918023586273193	-0.34250534	No	
row_56	NARS1	7266	-0.21378470957279205	-0.3439155	No	
row_57	HIBCH	7267	-0.2141384482383728	-0.3435538	No	
row_58	NAGS	7285	-0.2165652960538864	-0.34444267	No	
row_59	VARS1	7350	-0.23329764604568481	-0.34877187	No	
row_60	NIT2	7459	-0.25421732664108276	-0.356313	No	
row_61	TARS1	7574	-0.2802865207195282	-0.36425287	No	
row_62	MTRR	7597	-0.28441208600997925	-0.3653961	No	
row_63	AMT	7728	-0.32059353590011597	-0.37444875	No	
row_64	ASL	7789	-0.3404422402381897	-0.3783018	No	
row_65	HAAO	7791	-0.3419578969478607	-0.37779802	No	
row_66	GPT2	7883	-0.3648495376110077	-0.3838977	No	
row_67	AGMAT	7900	-0.3711911737918854	-0.38445157	No	
row_68	RIDA	7951	-0.38835856318473816	-0.38748568	No	
row_69	MMUT	8206	-0.4609149098396301	-0.40545258	No	
row_70	SHMT1	8447	-0.5416387915611267	-0.42224994	No	
row_71	CARNS1	8548	-0.5770092010498047	-0.42865548	No	
row_72	PPM1K	8551	-0.5776543021202087	-0.42782745	No	
row_73	SIRT4	8701	-0.6242682933807373	-0.43776938	No	
row_74	BCKDHA	8769	-0.6437496542930603	-0.44162676	No	
row_75	ARG2	8954	-0.7096101641654968	-0.45400757	No	
row_76	TARS3	9050	-0.7488039135932922	-0.45975393	No	
row_77	AASS	9085	-0.7622948884963989	-0.46097568	No	
row_78	GATC	9104	-0.7714014053344727	-0.4610012	No	
row_79	YARS2	9117	-0.776199460029602	-0.46057582	No	
row_80	BPHL	9269	-0.8362118005752563	-0.4703074	No	
row_81	EPRS1	9310	-0.8545993566513062	-0.47181603	No	
row_82	GGT5	9422	-0.9002969861030579	-0.47848734	No	
row_83	HARS1	9442	-0.9082611203193665	-0.47835553	No	
row_84	SEPHS1	9502	-0.9404873251914978	-0.48112133	No	
row_85	EGLN1	9610	-0.9860608577728271	-0.48735258	No	
row_86	PYCR2	9790	-1.069219946861267	-0.49875703	No	
row_87	WARS1	9910	-1.1306973695755005	-0.5056296	No	
row_88	SMS	10141	-1.2614421844482422	-0.52047324	No	
row_89	BCAT2	10292	-1.349670648574829	-0.5292638	No	
row_90	CBS	10362	-1.3932310342788696	-0.5320029	No	
row_91	LARS1	10398	-1.4160534143447876	-0.53219426	No	
row_92	RARS1	10442	-1.4488619565963745	-0.5329206	No	
row_93	ACADSB	10521	-1.502565622329712	-0.53613925	No	
row_94	MTR	10536	-1.5142279863357544	-0.534615	No	
row_95	QARS1	10690	-1.6194275617599487	-0.54317135	No	
row_96	CTH	10718	-1.6359666585922241	-0.54240084	No	
row_97	ILVBL	10727	-1.6412384510040283	-0.54021925	No	
row_98	FARS2	10958	-1.8513003587722778	-0.55406666	No	
row_99	CPS1	10991	-1.8819886445999146	-0.55324966	No	
row_100	CARS1	11088	-1.9626877307891846	-0.5570196	No	
row_101	BCKDK	11095	-1.9715609550476074	-0.55413246	No	
row_102	DPEP1	11112	-1.9830577373504639	-0.551964	No	
row_103	BLMH	11220	-2.100709915161133	-0.5563126	No	
row_104	AFMID	11281	-2.149266242980957	-0.5571106	No	
row_105	HARS2	11367	-2.2431845664978027	-0.559595	No	
row_106	DBT	11449	-2.319279670715332	-0.56165564	Yes	
