NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A13	2407	1.907334566116333	-0.146624	No	
row_1	NAT8L	4003	0.6461784839630127	-0.25321567	No	
row_2	PIPOX	4298	0.5106821656227112	-0.2668848	No	
row_3	MRI1	4655	0.361951619386673	-0.2873516	No	
row_4	ADI1	4990	0.2525425851345062	-0.30788252	No	
row_5	SDSL	5455	0.13029108941555023	-0.33977178	No	
row_6	MTHFR	5942	0.024603866040706635	-0.37488094	No	
row_7	ASS1	6121	-5.663966876454651E-4	-0.3878688	No	
row_8	MSRA	7241	-0.20918023586273193	-0.46637776	No	
row_9	NIT2	7459	-0.25421732664108276	-0.47834048	No	
row_10	MTRR	7597	-0.28441208600997925	-0.48400104	No	
row_11	RIDA	7951	-0.38835856318473816	-0.50384563	No	
row_12	AASS	9085	-0.7622948884963989	-0.574932	No	
row_13	SMS	10141	-1.2614421844482422	-0.63270235	No	
row_14	MTR	10536	-1.5142279863357544	-0.638351	No	
row_15	DDO	12023	-3.0513439178466797	-0.7002626	Yes	
row_16	GOT2	12241	-3.4793245792388916	-0.66298515	Yes	
row_17	ENOPH1	12249	-3.4879746437072754	-0.61024266	Yes	
row_18	SLC25A12	12523	-4.110299587249756	-0.5674204	Yes	
row_19	AASDHPPT	12712	-4.662208557128906	-0.50996554	Yes	
row_20	MTAP	12897	-5.317735195159912	-0.44221023	Yes	
row_21	ATF4	12974	-5.673244476318359	-0.36114153	Yes	
row_22	APIP	13070	-6.187558650970459	-0.27360767	Yes	
row_23	MTHFD1	13197	-7.0123796463012695	-0.17574407	Yes	
row_24	GOT1	13611	-14.007121086120605	0.007958568	Yes	
