NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	1	32.55608367919922	0.063837096	Yes	
row_1	CXCR2	40	21.777881622314453	0.10380164	Yes	
row_2	NINJ1	48	21.14810562133789	0.14480376	Yes	
row_3	GAB1	60	19.98063087463379	0.18322062	Yes	
row_4	CTSG	69	19.29831314086914	0.2205181	Yes	
row_5	FLT1	93	17.884048461914062	0.25393897	Yes	
row_6	RAC1	97	17.703866958618164	0.28847316	Yes	
row_7	CCL2	98	17.5739688873291	0.32297242	Yes	
row_8	ADAM8	111	16.90247344970703	0.35527322	Yes	
row_9	TREM1	116	16.723405838012695	0.38780934	Yes	
row_10	CCR2	179	14.336682319641113	0.4114057	Yes	
row_11	S100A12	183	14.182222366333008	0.4390266	Yes	
row_12	JAML	259	12.468265533447266	0.45800155	Yes	
row_13	S100A8	262	12.4019775390625	0.482201	Yes	
row_14	GPR183	273	12.214827537536621	0.50544626	Yes	
row_15	S100A9	300	11.735074043273926	0.5265761	Yes	
row_16	ANXA1	316	11.373867988586426	0.54780376	Yes	
row_17	TRPM4	346	10.622767448425293	0.56653	Yes	
row_18	SLAMF8	382	10.214643478393555	0.58401495	Yes	
row_19	HBEGF	471	8.952507972717285	0.59513456	Yes	
row_20	CCR9	478	8.841407775878906	0.6120509	Yes	
row_21	FCER1G	503	8.590072631835938	0.6271535	Yes	
row_22	IL6R	538	8.101214408874512	0.640563	Yes	
row_23	PIP5K1C	578	7.693892955780029	0.65280604	Yes	
row_24	CX3CR1	722	6.657642364501953	0.6553863	Yes	
row_25	PRKCD	796	6.1543402671813965	0.6621132	Yes	
row_26	TNFRSF11A	844	5.894005298614502	0.6702361	Yes	
row_27	DOCK4	848	5.882953643798828	0.68156487	Yes	
row_28	GAS6	850	5.873183727264404	0.69302106	Yes	
row_29	PPIB	870	5.748917102813721	0.702913	Yes	
row_30	CCL25	910	5.538437843322754	0.71092474	Yes	
row_31	BSG	1065	4.8328166007995605	0.70911586	Yes	
row_32	ELMO2	1125	4.60953950881958	0.7138371	Yes	
row_33	CORO1B	1265	4.148340702056885	0.7117848	Yes	
row_34	ACKR4	1330	3.8878307342529297	0.71472245	Yes	
row_35	CXCR4	1338	3.869011640548706	0.7218042	Yes	
row_36	HSD3B7	1470	3.5270144939422607	0.719119	No	
row_37	ACKR3	1618	3.1780097484588623	0.71457505	No	
row_38	RHOG	1667	3.0917153358459473	0.7171235	No	
row_39	VEGFA	2068	2.39382266998291	0.6924822	No	
row_40	RPS19	2083	2.372912883758545	0.6961135	No	
row_41	ADGRE2	2295	2.048447370529175	0.68465763	No	
row_42	ITGB2	2317	2.0239412784576416	0.68709046	No	
row_43	IL16	2379	1.939649224281311	0.6864237	No	
row_44	ARRB2	2739	1.5707052946090698	0.663174	No	
row_45	EGR3	2859	1.4548842906951904	0.65730125	No	
row_46	SRP54	3012	1.3184021711349487	0.64873993	No	
row_47	PIK3CG	3205	1.1476812362670898	0.6369095	No	
row_48	BIN2	3282	1.088857889175415	0.63347226	No	
row_49	PIP5K1A	3325	1.0567398071289062	0.632466	No	
row_50	CKLF	3683	0.8296111822128296	0.6079081	No	
row_51	FOLR2	4268	0.5236813426017761	0.5660989	No	
row_52	FFAR2	4447	0.4411536157131195	0.5539084	No	
row_53	HMGB2	4522	0.4094359278678894	0.54928416	No	
row_54	LYST	4687	0.34874603152275085	0.53793913	No	
row_55	PLXNB3	5197	0.1945236325263977	0.50098515	No	
row_56	PDGFRB	5345	0.1566924899816513	0.49051008	No	
row_57	TRPM2	5489	0.12270671874284744	0.4802617	No	
row_58	PIK3CD	5522	0.11667060852050781	0.4781435	No	
row_59	HGF	5580	0.10581975430250168	0.4741702	No	
row_60	PPIA	5697	0.07796206325292587	0.46581447	No	
row_61	SBDS	6090	0.0023722448386251926	0.4370654	No	
row_62	NR4A1	6533	-0.06562597304582596	0.40477288	No	
row_63	RAB13	6922	-0.1386740803718567	0.37658477	No	
row_64	CCR10	7686	-0.3110297620296478	0.3212282	No	
row_65	ACKR2	7904	-0.3725056052207947	0.3060422	No	
row_66	PTPRO	8035	-0.4111393094062805	0.29731363	No	
row_67	CCL1	8134	-0.43786776065826416	0.29098475	No	
row_68	SLC12A2	8323	-0.4982837438583374	0.27817285	No	
row_69	SYK	9161	-0.7925420999526978	0.21833354	No	
row_70	ARHGEF16	9195	-0.8059146404266357	0.21749504	No	
row_71	NRP1	9320	-0.8580271601676941	0.21008384	No	
row_72	MDK	9495	-0.9341673851013184	0.19915454	No	
row_73	IL10	9616	-0.9872970581054688	0.19229053	No	
row_74	CCR7	9773	-1.0608301162719727	0.1829302	No	
row_75	HMGB1	9862	-1.104990005493164	0.17864448	No	
row_76	ABCC1	10024	-1.196744680404663	0.16918421	No	
row_77	GBF1	10546	-1.520990014076233	0.13395396	No	
row_78	RAC3	11317	-2.188241720199585	0.081769064	No	
row_79	CCRL2	11347	-2.220115900039673	0.084000155	No	
row_80	CCL28	11728	-2.6549630165100098	0.06133854	No	
row_81	PIKFYVE	12220	-3.4372448921203613	0.032070603	No	
row_82	PDE4B	12310	-3.5860798358917236	0.032582115	No	
row_83	NCKAP1L	12607	-4.341497898101807	0.019392837	No	
row_84	LEF1	12963	-5.6072869300842285	0.004360677	No	
row_85	PLEKHG5	13215	-7.105231285095215	-1.0233759E-4	No	
row_86	CXCL16	13390	-8.886704444885254	0.0045798942	No	
row_87	PRKCQ	13465	-9.96009635925293	0.018704433	No	
