NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLEC5A	15	26.233774185180664	0.1625247	Yes	
row_1	CXCR2	40	21.777881622314453	0.2966007	Yes	
row_2	NCF1	165	14.764129638671875	0.3796289	Yes	
row_3	MNDA	261	12.412338256835938	0.45010683	Yes	
row_4	NCF2	295	11.807467460632324	0.5213401	Yes	
row_5	C5AR1	405	9.871042251586914	0.5749455	Yes	
row_6	CCR9	478	8.841407775878906	0.62483126	Yes	
row_7	TYROBP	581	7.668793678283691	0.66521245	Yes	
row_8	PRF1	693	6.867658615112305	0.6999398	Yes	
row_9	CX3CR1	722	6.657642364501953	0.7394187	Yes	
row_10	GNLY	798	6.147165298461914	0.7722813	Yes	
row_11	TCIRG1	946	5.346187114715576	0.79489005	Yes	
row_12	RAB23	1640	3.1339261531829834	0.7638266	No	
row_13	BECN1	2208	2.16229248046875	0.7359048	No	
row_14	FCMR	2482	1.8266881704330444	0.72736067	No	
row_15	LILRB2	5349	0.1559962034225464	0.51902956	No	
row_16	LGALS3BP	5630	0.09188684821128845	0.49915427	No	
row_17	CD300C	6270	-0.019726106896996498	0.45261112	No	
row_18	VEZF1	6871	-0.12831516563892365	0.4095934	No	
row_19	ITK	8483	-0.5525608062744141	0.29538837	No	
row_20	ZNF148	8818	-0.6625403761863708	0.27512863	No	
row_21	LY96	8905	-0.6938938498497009	0.27317587	No	
row_22	FOSL1	8952	-0.709300696849823	0.27424037	No	
row_23	ITGB1	9818	-1.0819897651672363	0.2178178	No	
row_24	KLRG1	10447	-1.453830361366272	0.1810225	No	
row_25	RELA	11786	-2.73465633392334	0.100364394	No	
row_26	SPN	11954	-2.954164505004883	0.10659351	No	
row_27	PTK2B	12303	-3.576169490814209	0.10348365	No	
