NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFP	37	22.21232795715332	0.04447175	Yes	
row_1	RNASE6	57	20.15648651123047	0.08589769	Yes	
row_2	CTSG	69	19.29831314086914	0.12608792	Yes	
row_3	RNASE2	87	18.03096580505371	0.16314518	Yes	
row_4	TREM1	116	16.723405838012695	0.19661695	Yes	
row_5	AKIRIN2	120	16.611217498779297	0.23168604	Yes	
row_6	MPO	139	15.616722106933594	0.26354098	Yes	
row_7	RNASE3	159	14.889826774597168	0.29377827	Yes	
row_8	S100A12	183	14.182222366333008	0.3222186	Yes	
row_9	NLRC4	212	13.389243125915527	0.34860715	Yes	
row_10	NOD2	222	13.163675308227539	0.37591162	Yes	
row_11	FGR	223	13.13212776184082	0.40380993	Yes	
row_12	MYD88	229	13.052167892456055	0.4311712	Yes	
row_13	S100A8	262	12.4019775390625	0.4551687	Yes	
row_14	PPP1R11	278	12.140571594238281	0.47985908	Yes	
row_15	S100A9	300	11.735074043273926	0.50324744	Yes	
row_16	SLC30A1	342	10.83674430847168	0.52325886	Yes	
row_17	TLR2	358	10.493892669677734	0.544451	Yes	
row_18	IL18	372	10.354434967041016	0.56549376	Yes	
row_19	SLAMF8	382	10.214643478393555	0.5865332	Yes	
row_20	SLC11A1	391	10.056892395019531	0.60731095	Yes	
row_21	TREM2	445	9.36080265045166	0.6233057	Yes	
row_22	TLR9	482	8.806225776672363	0.63937056	Yes	
row_23	FCER1G	503	8.590072631835938	0.656151	Yes	
row_24	IL6R	538	8.101214408874512	0.67086494	Yes	
row_25	RAB1A	651	7.1296820640563965	0.67778766	Yes	
row_26	TLR6	789	6.202847480773926	0.6809057	Yes	
row_27	PRKCD	796	6.1543402671813965	0.6935396	Yes	
row_28	GNLY	798	6.147165298461914	0.70652544	Yes	
row_29	RNASE1	865	5.7615966796875	0.71391934	Yes	
row_30	AQP1	948	5.338577747344971	0.7192398	Yes	
row_31	IL23A	1062	4.83885383605957	0.72122234	Yes	
row_32	MARCHF2	1214	4.30554723739624	0.71928173	Yes	
row_33	LYZ	1409	3.6972410678863525	0.71289146	Yes	
row_34	H2BC12	1483	3.4884324073791504	0.7149423	Yes	
row_35	MR1	1654	3.1166627407073975	0.7090808	Yes	
row_36	NAGK	1662	3.110400438308716	0.7151747	Yes	
row_37	IKBKG	1783	2.8849148750305176	0.7124922	Yes	
row_38	SHC1	1823	2.804446220397949	0.7155864	Yes	
row_39	JCHAIN	1852	2.747371196746826	0.7193671	Yes	
row_40	BPI	1908	2.6525747776031494	0.72096384	Yes	
row_41	ZNFX1	1977	2.530787467956543	0.7213473	Yes	
row_42	OAS3	2051	2.4278862476348877	0.721145	Yes	
row_43	RPS19	2083	2.372912883758545	0.72390985	Yes	
row_44	NLRP1	2243	2.1126585006713867	0.7167232	No	
