NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNASE6	57	20.15648651123047	0.12108286	Yes	
row_1	CTSG	69	19.29831314086914	0.24019292	Yes	
row_2	RNASE2	87	18.03096580505371	0.35098988	Yes	
row_3	TREM1	116	16.723405838012695	0.45285872	Yes	
row_4	RNASE3	159	14.889826774597168	0.5423118	Yes	
row_5	SLC11A1	391	10.056892395019531	0.58793086	Yes	
row_6	TREM2	445	9.36080265045166	0.64222497	Yes	
row_7	TLR9	482	8.806225776672363	0.6943147	Yes	
row_8	IL6R	538	8.101214408874512	0.7406361	Yes	
row_9	AQP1	948	5.338577747344971	0.74393684	Yes	
row_10	IL23A	1062	4.83885383605957	0.7657509	Yes	
row_11	LYZ	1409	3.6972410678863525	0.76345414	Yes	
row_12	H2BC12	1483	3.4884324073791504	0.77979857	Yes	
row_13	MR1	1654	3.1166627407073975	0.78674847	Yes	
row_14	BPI	1908	2.6525747776031494	0.7847528	Yes	
row_15	RPS19	2083	2.372912883758545	0.7867891	Yes	
row_16	NOD1	2758	1.552764654159546	0.7472117	No	
row_17	TLR4	2896	1.4194741249084473	0.746026	No	
row_18	ADGRB1	3697	0.8181494474411011	0.69268143	No	
row_19	RPL30	3993	0.6518404483795166	0.67518634	No	
row_20	HMGB2	4522	0.4094359278678894	0.6391677	No	
row_21	PYCARD	4595	0.38369491696357727	0.63629335	No	
row_22	H2BC11	5331	0.16024011373519897	0.58360803	No	
row_23	OPTN	6210	-0.01176807377487421	0.51955616	No	
row_24	DROSHA	7863	-0.3573044240474701	0.4011219	No	
row_25	SERPINE1	8017	-0.4061683714389801	0.3924713	No	
row_26	ROMO1	8155	-0.4442002475261688	0.3852256	No	
row_27	MPEG1	8919	-0.6979156732559204	0.33383623	No	
row_28	IRGM	11755	-2.692983627319336	0.14351434	No	
