NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNASE6	57	20.15648651123047	0.11669214	Yes	
row_1	CTSG	69	19.29831314086914	0.23159936	Yes	
row_2	RNASE2	87	18.03096580505371	0.33846936	Yes	
row_3	RNASE3	159	14.889826774597168	0.4225603	Yes	
row_4	FGR	223	13.13212776184082	0.49669674	Yes	
row_5	MYD88	229	13.052167892456055	0.574591	Yes	
row_6	PPP1R11	278	12.140571594238281	0.643878	Yes	
row_7	TLR2	358	10.493892669677734	0.7010269	Yes	
row_8	IL18	372	10.354434967041016	0.7621614	Yes	
row_9	RNASE1	865	5.7615966796875	0.76076347	Yes	
row_10	LYZ	1409	3.6972410678863525	0.743262	Yes	
row_11	H2BC12	1483	3.4884324073791504	0.75884515	Yes	
row_12	MR1	1654	3.1166627407073975	0.7651127	Yes	
row_13	RNASE4	3159	1.1847944259643555	0.6623394	No	
row_14	H2BC21	3277	1.0916086435317993	0.6603369	No	
row_15	RPL39	3366	1.024042010307312	0.660048	No	
row_16	LYG1	4416	0.45385169982910156	0.58613276	No	
row_17	HMGB2	4522	0.4094359278678894	0.58091676	No	
row_18	ADAM17	4709	0.3417244255542755	0.5693772	No	
row_19	TIRAP	4857	0.29488953948020935	0.56040597	No	
row_20	H2BC11	5331	0.16024011373519897	0.52681094	No	
row_21	H2BC8	5711	0.0750785693526268	0.4995726	No	
row_22	NLRP6	6509	-0.059276022017002106	0.44170186	No	
row_23	GBP2	6924	-0.13957279920578003	0.41229326	No	
row_24	HLA-A	7666	-0.3058323860168457	0.35999197	No	
row_25	DROSHA	7863	-0.3573044240474701	0.34781522	No	
row_26	ROMO1	8155	-0.4442002475261688	0.3292191	No	
row_27	TRAV27	8355	-0.5098893642425537	0.3177381	No	
row_28	IL1B	8611	-0.5971612930297852	0.30268914	No	
row_29	MPEG1	8919	-0.6979156732559204	0.28444538	No	
row_30	FAU	9568	-0.9690343141555786	0.24291489	No	
row_31	GBP4	11151	-2.022062063217163	0.13946329	No	
row_32	CASP4	13309	-8.02983283996582	0.030026125	No	
