NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	5	31.0035343170166	0.09709147	Yes	
row_1	MMP9	10	27.20229721069336	0.18230721	Yes	
row_2	CTSG	69	19.29831314086914	0.23872593	Yes	
row_3	MMP25	82	18.270009994506836	0.29527828	Yes	
row_4	ADAM8	111	16.90247344970703	0.3463611	Yes	
row_5	LAMB3	117	16.71737289428711	0.39854506	Yes	
row_6	FURIN	128	16.376188278198242	0.44929066	Yes	
row_7	CTSB	190	13.925175666809082	0.4885998	Yes	
row_8	SPP1	238	12.853052139282227	0.52556324	Yes	
row_9	COL18A1	298	11.764904022216797	0.5582281	Yes	
row_10	ADAMTS4	305	11.53875732421875	0.5940603	Yes	
row_11	TPSAB1	526	8.241888046264648	0.6038697	Yes	
row_12	TIMP1	553	7.9017863273620605	0.62680584	Yes	
row_13	CAPN3	556	7.898691654205322	0.6514885	Yes	
row_14	CTSS	601	7.489201545715332	0.67181057	Yes	
row_15	COL23A1	769	6.2972331047058105	0.67938536	Yes	
row_16	SCUBE1	777	6.260041236877441	0.6985511	Yes	
row_17	PSEN1	907	5.553709030151367	0.7065693	Yes	
row_18	A2M	959	5.300012111663818	0.7194976	Yes	
row_19	BSG	1065	4.8328166007995605	0.7270059	Yes	
row_20	CTSD	1212	4.308436393737793	0.72986573	Yes	
row_21	COL14A1	1479	3.507096529006958	0.72142565	No	
row_22	CTSK	1761	2.9286067485809326	0.71006954	No	
row_23	ADAM9	2165	2.230309247970581	0.68759114	No	
row_24	MMP15	2185	2.200699806213379	0.6931185	No	
row_25	COL9A3	2386	1.9332504272460938	0.6845607	No	
row_26	CAPN13	2582	1.7125879526138306	0.6756751	No	
row_27	TLL2	2615	1.6853034496307373	0.6786312	No	
row_28	LAMA3	2875	1.4438092708587646	0.66421753	No	
row_29	BMP1	3152	1.190048336982727	0.64776224	No	
row_30	COL9A2	3244	1.1126590967178345	0.644601	No	
row_31	COL15A1	3632	0.8653095364570618	0.6190025	No	
row_32	TIMP2	3752	0.7833531498908997	0.6127572	No	
row_33	PLG	4095	0.6008349657058716	0.5896203	No	
row_34	CAPN5	4167	0.5689469575881958	0.58621335	No	
row_35	ADAM17	4709	0.3417244255542755	0.5477002	No	
row_36	NCSTN	4854	0.29656633734703064	0.53809536	No	
row_37	CAPN7	4971	0.2594062089920044	0.53042257	No	
row_38	CASP3	5174	0.19797638058662415	0.5162637	No	
row_39	CAPN10	7800	-0.34365275502204895	0.3252614	No	
row_40	LAMC1	7847	-0.3541207015514374	0.32300854	No	
row_41	CAPNS1	7871	-0.3593091070652008	0.322455	No	
row_42	CAPN15	7963	-0.39034247398376465	0.31702316	No	
row_43	CAPN11	8418	-0.5301734209060669	0.28546858	No	
row_44	CAPN14	8562	-0.5812382698059082	0.27683175	No	
row_45	ADAM15	9533	-0.9549898505210876	0.20885462	No	
row_46	PHYKPL	9726	-1.040178894996643	0.19807488	No	
row_47	MMP17	9922	-1.1368961334228516	0.18737963	No	
row_48	HSPG2	10845	-1.7458913326263428	0.12540102	No	
row_49	CAPN1	11354	-2.228750705718994	0.09523439	No	
row_50	LAMA5	11639	-2.5300943851470947	0.08240605	No	
row_51	CD44	12132	-3.281695604324341	0.056720067	No	
row_52	ADAM10	12500	-4.054347038269043	0.042609643	No	
row_53	ADAMTS9	13097	-6.391424179077148	0.019088736	No	
row_54	CAST	13352	-8.406678199768066	0.026928242	No	
