NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHFR2	2816	1.4971864223480225	-0.18272047	No	
row_1	MTHFD2L	3493	0.949529230594635	-0.21759236	No	
row_2	GGH	4734	0.3333418369293213	-0.3030177	No	
row_3	MTHFR	5942	0.024603866040706635	-0.3907386	No	
row_4	MTHFS	6141	-0.0025174927432090044	-0.40515172	No	
row_5	MTRR	7597	-0.28441208600997925	-0.50701493	No	
row_6	SHMT1	8447	-0.5416387915611267	-0.5607285	No	
row_7	MTR	10536	-1.5142279863357544	-0.6900545	No	
row_8	SLC46A1	10986	-1.8787001371383667	-0.6942009	No	
row_9	SLC19A1	11860	-2.8212149143218994	-0.7149332	Yes	
row_10	MTHFD2	12150	-3.314328193664551	-0.68552756	Yes	
row_11	TYMS	12481	-3.992102861404419	-0.6487875	Yes	
row_12	SLC25A32	12536	-4.1442461013793945	-0.5895847	Yes	
row_13	FPGS	12587	-4.287480354309082	-0.5279076	Yes	
row_14	AASDHPPT	12712	-4.662208557128906	-0.46592203	Yes	
row_15	PM20D2	12826	-5.051871299743652	-0.3971964	Yes	
row_16	MTHFD1L	13171	-6.872237205505371	-0.3175948	Yes	
row_17	MTHFD1	13197	-7.0123796463012695	-0.2125749	Yes	
row_18	DHFR	13227	-7.191954135894775	-0.10511086	Yes	
row_19	SHMT2	13423	-9.255410194396973	0.021677257	Yes	
