NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCLM	921	5.47340202331543	-0.02518167	No	
row_1	GGT1	942	5.384549617767334	0.014772526	No	
row_2	GLUL	951	5.3313822746276855	0.0551944	No	
row_3	GLS	4660	0.3609815537929535	-0.21290354	No	
row_4	SLC38A1	5490	0.12264499068260193	-0.2725198	No	
row_5	GCLC	5970	0.02038303017616272	-0.30735463	No	
row_6	ASS1	6121	-5.663966876454651E-4	-0.31830797	No	
row_7	MTHFS	6141	-0.0025174927432090044	-0.31967658	No	
row_8	OAT	6837	-0.1208948865532875	-0.36951742	No	
row_9	NOXRED1	7214	-0.20253317058086395	-0.39542693	No	
row_10	NAGS	7285	-0.2165652960538864	-0.39887482	No	
row_11	NIT2	7459	-0.25421732664108276	-0.4095574	No	
row_12	ASL	7789	-0.3404422402381897	-0.43097278	No	
row_13	SIRT4	8701	-0.6242682933807373	-0.49272102	No	
row_14	ARG2	8954	-0.7096101641654968	-0.505672	No	
row_15	PYCR2	9790	-1.069219946861267	-0.558446	No	
row_16	CPS1	10991	-1.8819886445999146	-0.6316323	No	
row_17	GAD1	12031	-3.064833879470825	-0.68395954	Yes	
row_18	NOS3	12148	-3.313178062438965	-0.66695017	Yes	
row_19	GOT2	12241	-3.4793245792388916	-0.6469097	Yes	
row_20	CAD	12501	-4.054720878601074	-0.63464314	Yes	
row_21	FPGS	12587	-4.287480354309082	-0.6078754	Yes	
row_22	ALDH4A1	12688	-4.582499027252197	-0.5799343	Yes	
row_23	GLUD1	12771	-4.849153518676758	-0.54862726	Yes	
row_24	RIMKLB	13037	-5.982646942138672	-0.5219704	Yes	
row_25	AADAT	13096	-6.387563705444336	-0.47707748	Yes	
row_26	ALDH18A1	13322	-8.144922256469727	-0.43086743	Yes	
row_27	ALDH5A1	13361	-8.466371536254883	-0.36852434	Yes	
row_28	UCP2	13454	-9.736507415771484	-0.3003568	Yes	
row_29	PYCR1	13479	-10.143732070922852	-0.2240896	Yes	
row_30	GOT1	13611	-14.007121086120605	-0.12592365	Yes	
row_31	DGLUCY	13661	-17.397552490234375	0.004309974	Yes	
