NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	5	31.0035343170166	0.116973236	Yes	
row_1	MMP9	10	27.20229721069336	0.21963309	Yes	
row_2	KLF7	11	27.14830207824707	0.32238108	Yes	
row_3	SERPINB2	51	20.97026252746582	0.39889535	Yes	
row_4	RAC1	97	17.703866958618164	0.4626086	Yes	
row_5	FURIN	128	16.376188278198242	0.5223938	Yes	
row_6	F3	263	12.376042366027832	0.5594351	Yes	
row_7	ANXA1	316	11.373867988586426	0.5986795	Yes	
row_8	GP9	324	11.194981575012207	0.6405372	Yes	
row_9	APOC1	399	9.89985179901123	0.67259413	Yes	
row_10	TIMP1	553	7.9017863273620605	0.6913125	Yes	
row_11	F8	794	6.171270370483398	0.69711983	Yes	
row_12	A2M	959	5.300012111663818	0.70518696	Yes	
row_13	ARF4	1016	5.023574352264404	0.7201049	Yes	
row_14	CLU	1391	3.746154308319092	0.70693576	Yes	
row_15	PLEK	1396	3.7359354496002197	0.72078264	Yes	
row_16	SPARC	1476	3.511894941329956	0.72829753	Yes	
row_17	LAMP2	1716	3.0064144134521484	0.7222	Yes	
row_18	CTSK	1761	2.9286067485809326	0.73006654	Yes	
row_19	CPQ	1915	2.6378207206726074	0.7288624	Yes	
row_20	ISCU	1956	2.562356948852539	0.73563534	Yes	
row_21	ADAM9	2165	2.230309247970581	0.72886723	Yes	
row_22	MMP15	2185	2.200699806213379	0.7358069	Yes	
row_23	THBS1	2250	2.0990748405456543	0.73907155	Yes	
row_24	PECAM1	2393	1.924483299255371	0.7359719	No	
row_25	CTSH	3049	1.2831324338912964	0.6929341	No	
row_26	BMP1	3152	1.190048336982727	0.68997973	No	
row_27	GNB2	3519	0.9341655969619751	0.66675305	No	
row_28	C8G	3969	0.6643027067184448	0.636436	No	
row_29	PLG	4095	0.6008349657058716	0.6295699	No	
row_30	CAPN5	4167	0.5689469575881958	0.6265316	No	
row_31	SH2B2	4297	0.5128203630447388	0.6190399	No	
row_32	DCT	4404	0.45942267775535583	0.6130279	No	
row_33	TF	5088	0.22324314713478088	0.5639312	No	
row_34	DUSP14	5366	0.1509678214788437	0.54424816	No	
row_35	S100A1	5447	0.13216784596443176	0.5388987	No	
row_36	S100A13	6418	-0.042020831257104874	0.46813056	No	
row_37	MSRB2	6591	-0.07356628030538559	0.4558322	No	
row_38	FYN	7436	-0.2496902048587799	0.39506325	No	
row_39	SERPINE1	8017	-0.4061683714389801	0.3541904	No	
row_40	FBN1	9115	-0.7753128409385681	0.27691123	No	
row_41	CASP9	11238	-2.1115713119506836	0.12974054	No	
row_42	MAFF	12229	-3.4529688358306885	0.07041937	No	
row_43	PEF1	12395	-3.7867283821105957	0.07268604	No	
row_44	VWF	13093	-6.374601364135742	0.04584675	No	
