NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HUS1	847	5.8896002769470215	-0.042898927	No	
row_1	CDKN2C	2177	2.210789680480957	-0.13353644	No	
row_2	LBR	2303	2.03873872756958	-0.13598698	No	
row_3	POLE4	2322	2.01531720161438	-0.13062727	No	
row_4	CTPS1	2575	1.7193206548690796	-0.14349994	No	
row_5	CDKN1A	2868	1.4485211372375488	-0.16021986	No	
row_6	EZH2	2904	1.415052056312561	-0.15810502	No	
row_7	PLK1	2975	1.3503484725952148	-0.15878502	No	
row_8	BRMS1L	3361	1.0296099185943604	-0.18375072	No	
row_9	ASF1A	3464	0.9670389890670776	-0.18806152	No	
row_10	JPT1	3966	0.6655188798904419	-0.22278668	No	
row_11	CCNE1	4148	0.5788583755493164	-0.23420924	No	
row_12	POP7	4219	0.5436945557594299	-0.23756565	No	
row_13	NBN	4300	0.5099175572395325	-0.24177131	No	
row_14	HMGB3	4403	0.4597035348415375	-0.2477654	No	
row_15	HMGB2	4522	0.4094359278678894	-0.2551058	No	
row_16	SNRPB	4694	0.3456648290157318	-0.26656488	No	
row_17	SMC6	4783	0.3167200982570648	-0.27200133	No	
row_18	GINS3	4931	0.2737326920032501	-0.2819298	No	
row_19	AURKA	5286	0.17177031934261322	-0.30745646	No	
row_20	HNRNPD	5384	0.14726687967777252	-0.3141186	No	
row_21	CDC25A	5386	0.14646925032138824	-0.31370634	No	
row_22	ANP32E	5686	0.08076527714729309	-0.3354804	No	
row_23	KPNA2	5739	0.06852146238088608	-0.33908644	No	
row_24	SMC4	5798	0.05625036731362343	-0.3431755	No	
row_25	ORC6	5931	0.026440856978297234	-0.3528187	No	
row_26	CCNB2	5947	0.024063246324658394	-0.35384464	No	
row_27	RAD1	6255	-0.017822612076997757	-0.37641728	No	
row_28	USP1	6488	-0.05522138997912407	-0.39333692	No	
row_29	ILF3	6601	-0.07625977694988251	-0.40134043	No	
row_30	SPC25	6623	-0.07985405623912811	-0.4026236	No	
row_31	RAD21	6680	-0.09060432761907578	-0.40645123	No	
row_32	SLBP	6758	-0.10643922537565231	-0.41177446	No	
row_33	PPM1D	6760	-0.10675322264432907	-0.411494	No	
row_34	ING3	7156	-0.1898837834596634	-0.439983	No	
row_35	EXOSC8	7189	-0.19670920073986053	-0.44168937	No	
row_36	ESPL1	7306	-0.22106628119945526	-0.4495073	No	
row_37	TACC3	7342	-0.23135434091091156	-0.45131987	No	
row_38	KIF18B	7431	-0.2491118162870407	-0.45698062	No	
row_39	DDX39A	7543	-0.27509671449661255	-0.46425068	No	
row_40	RFC3	7722	-0.3197849690914154	-0.47631168	No	
row_41	PHF5A	7758	-0.32859617471694946	-0.4778016	No	
row_42	UBE2S	7804	-0.3443663716316223	-0.4799764	No	
row_43	POLE	7887	-0.3670242130756378	-0.4848036	No	
row_44	RFC2	8067	-0.4185340106487274	-0.49661064	No	
row_45	MKI67	8113	-0.4325298070907593	-0.49849293	No	
row_46	HMGA1	8275	-0.481112003326416	-0.5087654	No	
row_47	DCLRE1B	8277	-0.4819328188896179	-0.5072401	No	
row_48	SHMT1	8447	-0.5416387915611267	-0.51790154	No	
row_49	EIF2S1	8517	-0.564615786075592	-0.5211148	No	
row_50	PCNA	8643	-0.6074808239936829	-0.5283141	No	
row_51	SPAG5	8649	-0.6098169684410095	-0.5266594	No	
row_52	CTCF	8677	-0.617568850517273	-0.5266008	No	
row_53	PDS5B	9008	-0.7294148802757263	-0.548508	No	
