NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFB2M	2631	1.6714420318603516	-0.17838405	No	
row_1	PLK1	2975	1.3503484725952148	-0.19215657	No	
row_2	CBX3	3176	1.1703795194625854	-0.1969799	No	
row_3	MPHOSPH10	5598	0.09837073087692261	-0.37318158	No	
row_4	GNL3	5907	0.030926894396543503	-0.3954438	No	
row_5	MAP3K6	6482	-0.05385461077094078	-0.43696415	No	
row_6	GRWD1	6529	-0.0647512674331665	-0.43978548	No	
row_7	DUSP2	7369	-0.23609940707683563	-0.4991567	No	
row_8	NOP16	7559	-0.2774621546268463	-0.5106531	No	
row_9	NDUFAF4	7971	-0.39320939779281616	-0.53741294	No	
row_10	RCL1	8358	-0.511177122592926	-0.56135696	No	
row_11	EXOSC5	8599	-0.5938473343849182	-0.573933	No	
row_12	NOP2	9055	-0.7502226829528809	-0.60092056	No	
row_13	RRP9	9284	-0.8418948650360107	-0.61054206	No	
row_14	MYBBP1A	9679	-1.0198085308074951	-0.6308117	No	
row_15	UNG	9686	-1.023127794265747	-0.6226827	No	
row_16	AIMP2	9711	-1.032851219177246	-0.6157884	No	
row_17	MCM5	9844	-1.0989536046981812	-0.61623764	No	
row_18	PPAN	9902	-1.1269116401672363	-0.6109687	No	
row_19	PLK4	10055	-1.2129324674606323	-0.61192584	No	
row_20	TCOF1	10620	-1.5731003284454346	-0.6399928	Yes	
row_21	HK2	10636	-1.582597017288208	-0.62783676	Yes	
row_22	PES1	10776	-1.6839665174484253	-0.6238989	Yes	
row_23	LAS1L	10932	-1.8248399496078491	-0.6199513	Yes	
row_24	MYC	11165	-2.0330634117126465	-0.61989033	Yes	
row_25	BYSL	11444	-2.3144445419311523	-0.6208366	Yes	
row_26	WDR74	11598	-2.4884979724884033	-0.61118525	Yes	
row_27	SLC19A1	11860	-2.8212149143218994	-0.6066447	Yes	
row_28	NIP7	12013	-3.041886806488037	-0.5922861	Yes	
row_29	SRM	12018	-3.045820713043213	-0.5670727	Yes	
row_30	SORD	12228	-3.4493117332458496	-0.55347013	Yes	
row_31	UTP20	12344	-3.6650803089141846	-0.5311874	Yes	
row_32	IMP4	12415	-3.840672492980957	-0.50414383	Yes	
row_33	PPRC1	12416	-3.8432815074920654	-0.47195992	Yes	
row_34	NOLC1	12460	-3.9386680126190186	-0.44212145	Yes	
row_35	DCTPP1	12625	-4.3909406661987305	-0.4173432	Yes	
row_36	RABEPK	12627	-4.395376205444336	-0.38060915	Yes	
row_37	NOP56	12872	-5.247227668762207	-0.35450998	Yes	
row_38	WDR43	12951	-5.54774284362793	-0.31375623	Yes	
row_39	CDK4	12980	-5.712050914764404	-0.2679705	Yes	
row_40	PA2G4	13143	-6.692928314208984	-0.22376904	Yes	
row_41	HSPD1	13175	-6.887599945068359	-0.16835856	Yes	
row_42	MRTO4	13186	-6.953426837921143	-0.110861294	Yes	
row_43	PRMT3	13239	-7.308536052703857	-0.053461403	Yes	
row_44	TMEM97	13501	-10.575432777404785	0.01601346	Yes	
