NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFP	37	22.21232795715332	0.06287648	Yes	
row_1	RNASE6	57	20.15648651123047	0.12100026	Yes	
row_2	CTSG	69	19.29831314086914	0.17717572	Yes	
row_3	RNASE2	87	18.03096580505371	0.22917002	Yes	
row_4	CCL2	98	17.5739688873291	0.28032735	Yes	
row_5	TREM1	116	16.723405838012695	0.32846093	Yes	
row_6	C3	122	16.543947219848633	0.37694293	Yes	
row_7	RNASE3	159	14.889826774597168	0.41827205	Yes	
row_8	POU2F2	170	14.702967643737793	0.4609524	Yes	
row_9	S100A12	183	14.182222366333008	0.5019488	Yes	
row_10	GPR183	273	12.214827537536621	0.5315006	Yes	
row_11	S100A9	300	11.735074043273926	0.56424683	Yes	
row_12	TNFRSF21	329	11.103041648864746	0.59498054	Yes	
row_13	SLC11A1	391	10.056892395019531	0.62021005	Yes	
row_14	TREM2	445	9.36080265045166	0.64396983	Yes	
row_15	BST1	465	9.018271446228027	0.66920674	Yes	
row_16	FCN1	753	6.431268692016602	0.6671902	Yes	
row_17	GNLY	798	6.147165298461914	0.68212	Yes	
row_18	RGCC	1172	4.426333904266357	0.6678893	Yes	
row_19	TFE3	1300	4.002339839935303	0.6704115	Yes	
row_20	CLU	1391	3.746154308319092	0.67488533	Yes	
row_21	LYZ	1409	3.6972410678863525	0.6845576	Yes	
row_22	H2BC12	1483	3.4884324073791504	0.68951476	Yes	
row_23	MS4A1	1697	3.0405893325805664	0.6829029	No	
row_24	JCHAIN	1852	2.747371196746826	0.6797435	No	
row_25	RPS19	2083	2.372912883758545	0.66991603	No	
row_26	FCMR	2482	1.8266881704330444	0.6461798	No	
row_27	HLA-DRB1	2741	1.5689661502838135	0.6319292	No	
row_28	GPI	2843	1.4676567316055298	0.6288704	No	
row_29	TFEB	3053	1.277880072593689	0.6173467	No	
row_30	CD83	3076	1.2532204389572144	0.6194368	No	
row_31	RNASE4	3159	1.1847944259643555	0.61693347	No	
row_32	H2BC21	3277	1.0916086435317993	0.6115933	No	
row_33	RPL39	3366	1.024042010307312	0.6081761	No	
row_34	ZP3	3702	0.8154128789901733	0.586065	No	
row_35	RPL30	3993	0.6518404483795166	0.5667644	No	
row_36	TF	5088	0.22324314713478088	0.4873533	No	
row_37	H2BC11	5331	0.16024011373519897	0.47011435	No	
row_38	H2BC8	5711	0.0750785693526268	0.44259688	No	
row_39	BLNK	5759	0.06489494442939758	0.43934852	No	
row_40	NCR3LG1	6704	-0.09426558762788773	0.37053517	No	
row_41	YTHDF2	6896	-0.13285577297210693	0.35694805	No	
row_42	HLA-A	7666	-0.3058323860168457	0.30156767	No	
row_43	ROMO1	8155	-0.4442002475261688	0.26716232	No	
row_44	FAM3A	8388	-0.5221279263496399	0.2517238	No	
row_45	POU2AF1	8604	-0.595186173915863	0.23774523	No	
row_46	MEF2C	9492	-0.9336574077606201	0.17558211	No	
row_47	FAU	9568	-0.9690343141555786	0.17295402	No	
row_48	HMGN2	9784	-1.0656886100769043	0.16036466	No	
row_49	PLA2G6	9927	-1.1380186080932617	0.15333176	No	
row_50	HLA-DQB1	10793	-1.7009176015853882	0.09504425	No	
row_51	CD81	11344	-2.2177112102508545	0.061337598	No	
row_52	GAPDH	11848	-2.8062736988067627	0.032808695	No	
row_53	PSMB10	12444	-3.899801254272461	7.7504717E-4	No	
row_54	ST6GAL1	12823	-5.0416107177734375	-0.012004963	No	
row_55	TRAF3IP2	13216	-7.109292507171631	-0.019704565	No	
row_56	CD28	13394	-8.894614219665527	-0.0063968636	No	
row_57	BCL2	13484	-10.22270393371582	0.01727293	No	
