NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGLC2	28	23.329940795898438	0.07223442	Yes	
row_1	CD1D	39	21.867685317993164	0.1411315	Yes	
row_2	TREM1	116	16.723405838012695	0.18881333	Yes	
row_3	C3	122	16.543947219848633	0.24112521	Yes	
row_4	SIGLEC7	133	16.054174423217773	0.29151127	Yes	
row_5	IGLC3	155	15.0220947265625	0.3378052	Yes	
row_6	KLRB1	196	13.729546546936035	0.37859154	Yes	
row_7	JAML	259	12.468265533447266	0.41375008	Yes	
row_8	OSCAR	370	10.363884925842285	0.4386915	Yes	
row_9	TREML2	415	9.783438682556152	0.46661985	Yes	
row_10	TREM2	445	9.36080265045166	0.49430138	Yes	
row_11	ITGB7	501	8.614921569824219	0.5177032	Yes	
row_12	TYROBP	581	7.668793678283691	0.5363341	Yes	
row_13	PILRA	613	7.427041053771973	0.5577117	Yes	
row_14	TRAV29DV5	647	7.154656410217285	0.5780755	Yes	
row_15	HLA-C	849	5.87335729598999	0.5820518	Yes	
row_16	SELL	857	5.831920146942139	0.6001086	Yes	
row_17	CD300LF	909	5.544707298278809	0.6140275	Yes	
row_18	FCGR2B	1020	5.015725135803223	0.6219396	Yes	
row_19	LILRA2	1116	4.639723300933838	0.6297534	Yes	
row_20	HCST	1193	4.3872222900390625	0.63815516	Yes	
row_21	SIGLEC10	1215	4.301551342010498	0.65031344	Yes	
row_22	B2M	1371	3.786547899246216	0.651015	Yes	
row_23	IGKC	1426	3.646665573120117	0.6586704	Yes	
row_24	SIGLEC9	1434	3.6303017139434814	0.669717	Yes	
row_25	LAIR1	1456	3.559166431427002	0.6795114	Yes	
row_26	FCGR1A	1604	3.2150051593780518	0.67897916	No	
row_27	CD300LB	1842	2.7640669345855713	0.6704177	No	
row_28	LILRB4	1890	2.6914119720458984	0.6755443	No	
row_29	SLAMF7	2116	2.3160572052001953	0.6664354	No	
row_30	ITGAL	2241	2.114417791366577	0.6640838	No	
row_31	SLAMF6	2281	2.0750186443328857	0.6678338	No	
row_32	ITGB2	2317	2.0239412784576416	0.6717142	No	
row_33	HLA-B	2726	1.5869636535644531	0.64687717	No	
row_34	IGHV3-33	3218	1.1374515295028687	0.6145283	No	
row_35	ICAM4	3330	1.0549192428588867	0.6097554	No	
row_36	CD300A	3505	0.941498875617981	0.60000604	No	
row_37	PILRB	4330	0.4962785542011261	0.54121995	No	
row_38	LILRB2	5349	0.1559962034225464	0.4671379	No	
row_39	ICAM5	5857	0.0429980494081974	0.43013194	No	
row_40	CD33	6099	0.0017079577082768083	0.41248173	No	
row_41	CD300C	6270	-0.019726106896996498	0.4000903	No	
row_42	NCR3LG1	6704	-0.09426558762788773	0.36866885	No	
row_43	CD1C	6802	-0.11446007341146469	0.3619271	No	
row_44	CD1A	7046	-0.16653189063072205	0.34465516	No	
row_45	CD3D	7349	-0.23282091319561005	0.32327193	No	
row_46	IFITM1	7402	-0.2423231303691864	0.320234	No	
row_47	HLA-A	7666	-0.3058323860168457	0.3019404	No	
row_48	LILRB1	7987	-0.3980070948600769	0.2797645	No	
row_49	ICAM3	8081	-0.42101237177848816	0.27429187	No	
row_50	ICAM1	8229	-0.46636369824409485	0.26500762	No	
row_51	CLEC2B	8362	-0.512163519859314	0.25696808	No	
row_52	CLEC2D	8772	-0.6459773182868958	0.22906159	No	
row_53	NECTIN2	9402	-0.8950296640396118	0.18583089	No	
row_54	ITGA4	9643	-1.0021390914916992	0.17143942	No	
row_55	ITGB1	9818	-1.0819897651672363	0.16213737	No	
row_56	ULBP3	9949	-1.152186632156372	0.15628228	No	
row_57	MICB	10035	-1.204176664352417	0.15388943	No	
row_58	CD19	10064	-1.2187784910202026	0.15571891	No	
row_59	TRAC	10220	-1.3092989921569824	0.14853258	No	
row_60	HLA-H	10345	-1.3837817907333374	0.14385448	No	
row_61	KLRG1	10447	-1.453830361366272	0.14108442	No	
row_62	MICA	10822	-1.7284448146820068	0.11918875	No	
row_63	NPDC1	10898	-1.7956137657165527	0.11941172	No	
row_64	CD81	11344	-2.2177112102508545	0.09387248	No	
row_65	CD22	11617	-2.5088791847229004	0.081934355	No	
row_66	PIANP	11623	-2.513042449951172	0.08956992	No	
row_67	CD200	11835	-2.7884132862091064	0.08299073	No	
row_68	CD96	12562	-4.203061580657959	0.043187037	No	
row_69	ICAM2	13003	-5.805957794189453	0.029439561	No	
row_70	HLA-F	13230	-7.227909088134766	0.03589743	No	
