NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	1	32.55608367919922	0.03826882	Yes	
row_1	MEFV	23	23.971895217895508	0.064952224	Yes	
row_2	C5AR2	24	23.80949592590332	0.09299362	Yes	
row_3	CXCR2	40	21.777881622314453	0.11753569	Yes	
row_4	CYBB	43	21.58171844482422	0.14280578	Yes	
row_5	NINJ1	48	21.14810562133789	0.16741766	Yes	
row_6	CHI3L1	73	18.885236740112305	0.18788898	Yes	
row_7	MMP25	82	18.270009994506836	0.20881611	Yes	
row_8	RAC1	97	17.703866958618164	0.22863384	Yes	
row_9	CCL2	98	17.5739688873291	0.24933138	Yes	
row_10	LAT	100	17.517574310302734	0.26988876	Yes	
row_11	ADAM8	111	16.90247344970703	0.28905773	Yes	
row_12	HRH1	168	14.740499496459961	0.3022869	Yes	
row_13	CCR2	179	14.336682319641113	0.31843403	Yes	
row_14	TGFB1	191	13.88201904296875	0.33397195	Yes	
row_15	FCGR2C	205	13.537490844726562	0.34895653	Yes	
row_16	TMIGD3	210	13.397513389587402	0.3644402	Yes	
row_17	NLRC4	212	13.389243125915527	0.38013548	Yes	
row_18	ORM1	221	13.17113208770752	0.39505747	Yes	
row_19	S100A8	262	12.4019775390625	0.40671283	Yes	
row_20	F3	263	12.376042366027832	0.42128858	Yes	
row_21	VNN1	268	12.31036376953125	0.4354919	Yes	
row_22	LRP1	292	11.865175247192383	0.4477692	Yes	
row_23	S100A9	300	11.735074043273926	0.46107364	Yes	
row_24	ANXA1	316	11.373867988586426	0.47336248	Yes	
row_25	TBXA2R	347	10.615191459655762	0.48365122	Yes	
row_26	TLR2	358	10.493892669677734	0.49527255	Yes	
row_27	SLAMF8	382	10.214643478393555	0.50560594	Yes	
row_28	SLC11A1	391	10.056892395019531	0.5168602	Yes	
row_29	C5AR1	405	9.871042251586914	0.5275266	Yes	
row_30	CD40	437	9.545295715332031	0.5364815	Yes	
row_31	TREM2	445	9.36080265045166	0.5469897	Yes	
row_32	MGLL	492	8.752948760986328	0.55390483	Yes	
row_33	IFNGR1	510	8.456507682800293	0.5626102	Yes	
row_34	IL6R	538	8.101214408874512	0.57015944	Yes	
row_35	TYROBP	581	7.668793678283691	0.57609284	Yes	
row_36	CARD8	620	7.387370586395264	0.5819898	Yes	
row_37	GRN	688	6.910809516906738	0.5851861	Yes	
row_38	CX3CR1	722	6.657642364501953	0.59059256	Yes	
row_39	SCUBE1	777	6.260041236877441	0.5939815	Yes	
row_40	TLR6	789	6.202847480773926	0.6004753	Yes	
row_41	CHUK	843	5.895716190338135	0.60350895	Yes	
row_42	PSEN1	907	5.553709030151367	0.60540205	Yes	
row_43	CCL25	910	5.538437843322754	0.61177737	Yes	
row_44	CD68	934	5.4153032302856445	0.61645836	Yes	
row_45	IL10RB	956	5.305841445922852	0.621158	Yes	
row_46	IL1RN	983	5.200047969818115	0.62536424	Yes	
row_47	FCGR2B	1020	5.015725135803223	0.6286156	Yes	
row_48	SNAP23	1064	4.834610462188721	0.63113725	Yes	
row_49	ITGAM	1087	4.755561828613281	0.635115	Yes	
row_50	PTGIR	1152	4.489678382873535	0.6356812	Yes	
row_51	CYBA	1166	4.439097881317139	0.6399503	Yes	
row_52	TUSC2	1195	4.375151634216309	0.6430374	Yes	
row_53	FOS	1247	4.201213359832764	0.64422286	Yes	
row_54	CXCR4	1338	3.869011640548706	0.6421399	Yes	
row_55	CLU	1391	3.746154308319092	0.6427157	Yes	
row_56	LYZ	1409	3.6972410678863525	0.64581597	Yes	
row_57	TRIM14	1423	3.6732959747314453	0.6491831	Yes	
row_58	PXK	1594	3.237199544906616	0.6404542	No	
row_59	FCGR1A	1604	3.2150051593780518	0.6435766	No	
row_60	TXNIP	1639	3.134328603744507	0.6447598	No	
row_61	IKBKG	1783	2.8849148750305176	0.6376078	No	
row_62	NFAM1	1904	2.6621057987213135	0.6318903	No	
row_63	STAT3	2190	2.1943206787109375	0.61344916	No	
row_64	C3AR1	2209	2.161792755126953	0.61466724	No	
row_65	ITGAL	2241	2.114417791366577	0.61487055	No	
row_66	NLRP1	2243	2.1126585006713867	0.6172849	No	
row_67	THBS1	2250	2.0990748405456543	0.61931443	No	
row_68	NFKB2	2253	2.093046188354492	0.6216319	No	
row_69	ITGB2	2317	2.0239412784576416	0.6193679	No	
row_70	TNFRSF1A	2430	1.8835480213165283	0.61332357	No	
row_71	HLA-DRB1	2741	1.5689661502838135	0.5923016	No	
row_72	NOD1	2758	1.552764654159546	0.59295	No	
row_73	HMOX1	2882	1.4336992502212524	0.5855644	No	
row_74	TLR4	2896	1.4194741249084473	0.5862771	No	
row_75	HDAC4	2913	1.4064289331436157	0.58675313	No	
row_76	APP	2997	1.3300787210464478	0.5821964	No	
row_77	GPR68	3074	1.2540403604507446	0.5780666	No	
row_78	NFATC3	3111	1.217506766319275	0.57684463	No	
row_79	PIK3CG	3205	1.1476812362670898	0.5713354	No	
row_80	ITCH	3419	0.989854097366333	0.5567874	No	
row_81	IKBKB	3485	0.9541146755218506	0.5531158	No	
row_82	RELB	3510	0.9406008720397949	0.55245304	No	
row_83	CEBPB	3608	0.8793449401855469	0.54633266	No	
row_84	FUT7	3624	0.8675421476364136	0.5462478	No	
row_85	CSF1R	3774	0.7736912965774536	0.5361667	No	
row_86	PRDX5	3775	0.7721455097198486	0.5370761	No	
row_87	LOXL3	3962	0.6666877865791321	0.5241394	No	
row_88	PTGER1	4005	0.6457035541534424	0.5218014	No	
row_89	MAPKAPK2	4117	0.5897831320762634	0.51430714	No	
row_90	FOLR2	4268	0.5236813426017761	0.5038579	No	
row_91	FFAR2	4447	0.4411536157131195	0.49124578	No	
row_92	HMGB2	4522	0.4094359278678894	0.48626873	No	
row_93	NLRP3	4527	0.40667837858200073	0.4864526	No	
row_94	FCGR2A	4545	0.4014965891838074	0.4856713	No	
row_95	PYCARD	4595	0.38369491696357727	0.4825083	No	
row_96	ITIH4	4695	0.3455490469932556	0.4756117	No	
row_97	TBK1	4827	0.30389901995658875	0.4663053	No	
row_98	AOC3	4963	0.2633451819419861	0.456656	No	
row_99	HYAL3	5019	0.2472464144229889	0.45288965	No	
row_100	TLR1	5351	0.1555412858724594	0.4286538	No	
row_101	ADGRE5	5425	0.13789069652557373	0.42343074	No	
row_102	MAP3K7	5457	0.12904836237430573	0.42129573	No	
row_103	PIK3CD	5522	0.11667060852050781	0.41671166	No	
row_104	IL17D	5715	0.07453013956546783	0.40263492	No	
row_105	BLNK	5759	0.06489494442939758	0.39953908	No	
row_106	RIPK2	5769	0.062040552496910095	0.3989482	No	
row_107	HNRNPA0	5974	0.020091652870178223	0.38392204	No	
row_108	TLR5	6051	0.007366707548499107	0.37832394	No	
row_109	LIAS	6060	0.006227234378457069	0.37774107	No	
row_110	LGALS9	6200	-0.009709184989333153	0.36749798	No	
row_111	NLRP6	6509	-0.059276022017002106	0.34484556	No	
row_112	JAK2	6587	-0.07311741262674332	0.33925113	No	
row_113	PNMA1	6929	-0.1404537707567215	0.31425977	No	
row_114	MYLK3	6949	-0.14470414817333221	0.31302848	No	
row_115	MAP3K20	6986	-0.15130352973937988	0.31055084	No	
row_116	TAB2	7387	-0.2390444427728653	0.28132296	No	
row_117	F11R	7672	-0.30715322494506836	0.26073304	No	
row_118	F12	7893	-0.3690952658653259	0.24493755	No	
row_119	TLR10	7909	-0.3745455741882324	0.24427207	No	
row_120	HDAC5	8024	-0.40788930654525757	0.23634228	No	
row_121	PARP4	8038	-0.4124898314476013	0.23586904	No	
row_122	AIF1	8055	-0.41502368450164795	0.23517744	No	
row_123	CCL1	8134	-0.43786776065826416	0.2299388	No	
row_124	MFHAS1	8242	-0.47155269980430603	0.2226004	No	
row_125	ANO6	8460	-0.5454463362693787	0.20723395	No	
row_126	IL1B	8611	-0.5971612930297852	0.19687122	No	
row_127	NFX1	8713	-0.6269671320915222	0.1901585	No	
row_128	PLSCR1	8886	-0.6870183944702148	0.17827858	No	
row_129	MAPK9	8921	-0.6986234784126282	0.17659308	No	
row_130	NRROS	8949	-0.7085253000259399	0.17543565	No	
row_131	SYK	9161	-0.7925420999526978	0.16080284	No	
row_132	KDM4D	9407	-0.8958892226219177	0.14378347	No	
row_133	GGT5	9422	-0.9002969861030579	0.14381094	No	
row_134	MDK	9495	-0.9341673851013184	0.13959946	No	
row_135	PJA2	9572	-0.9714954495429993	0.13513684	No	
row_136	CCR7	9773	-1.0608301162719727	0.12163152	No	
row_137	ITGB1	9818	-1.0819897651672363	0.11965978	No	
row_138	HMGB1	9862	-1.104990005493164	0.11778891	No	
row_139	TNFRSF4	10086	-1.2312414646148682	0.1027875	No	
row_140	CD6	10261	-1.3321242332458496	0.0915198	No	
row_141	KLRG1	10447	-1.453830361366272	0.079583935	No	
row_142	HSPG2	10845	-1.7458913326263428	0.05235206	No	
row_143	PLA2G4B	10949	-1.8390100002288818	0.04691926	No	
row_144	CCRL2	11347	-2.220115900039673	0.020245893	No	
row_145	APOL2	11551	-2.4419777393341064	0.008145884	No	
row_146	PTGER2	11652	-2.54518985748291	0.0037661027	No	
row_147	RELA	11786	-2.73465633392334	-0.0028250616	No	
row_148	IRAK2	12008	-3.0337741374969482	-0.015556012	No	
row_149	LY75	12052	-3.108445167541504	-0.015067334	No	
