NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGLN3	246	12.759742736816406	0.031883128	No	
row_1	GCLM	921	5.47340202331543	0.0038978043	No	
row_2	GGT1	942	5.384549617767334	0.023494566	No	
row_3	GLUL	951	5.3313822746276855	0.043762796	No	
row_4	P4HB	1410	3.696835994720459	0.024658136	No	
row_5	SEPHS2	1480	3.5000159740448	0.033292193	No	
row_6	SLC25A13	2407	1.907334566116333	-0.027110657	No	
row_7	IL4I1	3035	1.2987474203109741	-0.0679813	No	
row_8	NAT8L	4003	0.6461784839630127	-0.13632213	No	
row_9	SERINC5	4042	0.6280463337898254	-0.13665032	No	
row_10	QDPR	4083	0.605654776096344	-0.1372127	No	
row_11	SERINC3	4281	0.51783686876297	-0.14962462	No	
row_12	PIPOX	4298	0.5106821656227112	-0.14879958	No	
row_13	MRI1	4655	0.361951619386673	-0.17347391	No	
row_14	GLS	4660	0.3609815537929535	-0.17235501	No	
row_15	ADI1	4990	0.2525425851345062	-0.19547854	No	
row_16	CSAD	5120	0.2152155637741089	-0.20409071	No	
row_17	SDSL	5455	0.13029108941555023	-0.22805889	No	
row_18	PSAT1	5473	0.12634511291980743	-0.22881055	No	
row_19	SLC38A1	5490	0.12264499068260193	-0.2295034	No	
row_20	MTHFR	5942	0.024603866040706635	-0.26245955	No	
row_21	GCLC	5970	0.02038303017616272	-0.26435858	No	
row_22	ASS1	6121	-5.663966876454651E-4	-0.27534938	No	
row_23	MTHFS	6141	-0.0025174927432090044	-0.276732	No	
row_24	FAH	6425	-0.04306207597255707	-0.29730374	No	
row_25	OAT	6837	-0.1208948865532875	-0.32695177	No	
row_26	NOXRED1	7214	-0.20253317058086395	-0.35371542	No	
row_27	MSRA	7241	-0.20918023586273193	-0.35480264	No	
row_28	NAGS	7285	-0.2165652960538864	-0.35710683	No	
row_29	NIT2	7459	-0.25421732664108276	-0.36879107	No	
row_30	MTRR	7597	-0.28441208600997925	-0.37771884	No	
row_31	AMT	7728	-0.32059353590011597	-0.3859921	No	
row_32	ASL	7789	-0.3404422402381897	-0.3890576	No	
row_33	GPT2	7883	-0.3648495376110077	-0.39444613	No	
row_34	RIDA	7951	-0.38835856318473816	-0.39783722	No	
row_35	SHMT1	8447	-0.5416387915611267	-0.43199554	No	
row_36	SIRT4	8701	-0.6242682933807373	-0.44809523	No	
row_37	ARG2	8954	-0.7096101641654968	-0.46378776	No	
row_38	AASS	9085	-0.7622948884963989	-0.47033325	No	
row_39	SEPHS1	9502	-0.9404873251914978	-0.49714175	No	
row_40	EGLN1	9610	-0.9860608577728271	-0.5011263	No	
row_41	PYCR2	9790	-1.069219946861267	-0.5100622	No	
row_42	SMS	10141	-1.2614421844482422	-0.53077835	No	
row_43	CBS	10362	-1.3932310342788696	-0.54145163	No	
row_44	MTR	10536	-1.5142279863357544	-0.5482071	No	
row_45	CTH	10718	-1.6359666585922241	-0.5550727	No	
row_46	CPS1	10991	-1.8819886445999146	-0.5676451	No	
row_47	GCSH	11561	-2.450496196746826	-0.5997598	No	
row_48	DDO	12023	-3.0513439178466797	-0.6216093	Yes	
row_49	GAD1	12031	-3.064833879470825	-0.6101337	Yes	
row_50	NOS3	12148	-3.313178062438965	-0.605675	Yes	
row_51	GOT2	12241	-3.4793245792388916	-0.59880745	Yes	
row_52	ENOPH1	12249	-3.4879746437072754	-0.5856767	Yes	
row_53	PSPH	12410	-3.829859733581543	-0.58242154	Yes	
row_54	CAD	12501	-4.054720878601074	-0.5731567	Yes	
row_55	SLC25A12	12523	-4.110299587249756	-0.55861765	Yes	
row_56	FPGS	12587	-4.287480354309082	-0.5464636	Yes	
row_57	ALDH4A1	12688	-4.582499027252197	-0.53586715	Yes	
row_58	AASDHPPT	12712	-4.662208557128906	-0.5193158	Yes	
row_59	GLUD1	12771	-4.849153518676758	-0.5045982	Yes	
row_60	MTAP	12897	-5.317735195159912	-0.49295792	Yes	
row_61	ATF4	12974	-5.673244476318359	-0.47633597	Yes	
row_62	RIMKLB	13037	-5.982646942138672	-0.4574777	Yes	
row_63	APIP	13070	-6.187558650970459	-0.4356193	Yes	
row_64	AADAT	13096	-6.387563705444336	-0.4124655	Yes	
row_65	MTHFD1	13197	-7.0123796463012695	-0.3923642	Yes	
row_66	GLDC	13209	-7.081973075866699	-0.3654681	Yes	
row_67	ALDH18A1	13322	-8.144922256469727	-0.34181613	Yes	
row_68	ALDH5A1	13361	-8.466371536254883	-0.31148353	Yes	
row_69	GSTZ1	13407	-8.987438201904297	-0.27962568	Yes	
row_70	SHMT2	13423	-9.255410194396973	-0.244521	Yes	
row_71	UCP2	13454	-9.736507415771484	-0.20863377	Yes	
row_72	PYCR1	13479	-10.143732070922852	-0.17071387	Yes	
row_73	GOT1	13611	-14.007121086120605	-0.12552343	Yes	
row_74	SRR	13654	-16.69672203063965	-0.06328967	Yes	
row_75	DGLUCY	13661	-17.397552490234375	0.0043238234	Yes	
