NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	1	32.55608367919922	0.06217411	Yes	
row_1	CXCR2	40	21.777881622314453	0.10102441	Yes	
row_2	NINJ1	48	21.14810562133789	0.14094597	Yes	
row_3	CTSG	69	19.29831314086914	0.17637652	Yes	
row_4	FLT1	93	17.884048461914062	0.20888278	Yes	
row_5	CCL2	98	17.5739688873291	0.24219075	Yes	
row_6	ADAM8	111	16.90247344970703	0.27362764	Yes	
row_7	TREM1	116	16.723405838012695	0.30530933	Yes	
row_8	RET	144	15.44955062866211	0.3328672	Yes	
row_9	CCR2	179	14.336682319641113	0.35778347	Yes	
row_10	S100A12	183	14.182222366333008	0.3846798	Yes	
row_11	JAML	259	12.468265533447266	0.40301424	Yes	
row_12	S100A8	262	12.4019775390625	0.42658013	Yes	
row_13	GPR183	273	12.214827537536621	0.449201	Yes	
row_14	S100A9	300	11.735074043273926	0.46973014	Yes	
row_15	SELPLG	304	11.6453275680542	0.49177593	Yes	
row_16	ANXA1	316	11.373867988586426	0.51271546	Yes	
row_17	TRPM4	346	10.622767448425293	0.5308977	Yes	
row_18	GOLPH3	364	10.435730934143066	0.5496031	Yes	
row_19	SLAMF8	382	10.214643478393555	0.56788576	Yes	
row_20	ITGA7	426	9.68222427368164	0.58324206	Yes	
row_21	ITGB7	501	8.614921569824219	0.59428227	Yes	
row_22	FCER1G	503	8.590072631835938	0.6106332	Yes	
row_23	IL6R	538	8.101214408874512	0.6236272	Yes	
row_24	PIP5K1C	578	7.693892955780029	0.6354754	Yes	
row_25	HCK	665	7.068007946014404	0.64267707	Yes	
row_26	CX3CR1	722	6.657642364501953	0.65129614	Yes	
row_27	TNFRSF11A	844	5.894005298614502	0.65368414	Yes	
row_28	GAS6	850	5.873183727264404	0.6645467	Yes	
row_29	SELL	857	5.831920146942139	0.675257	Yes	
row_30	PPIB	870	5.748917102813721	0.6853682	Yes	
row_31	CCL25	910	5.538437843322754	0.69309515	Yes	
row_32	BSG	1065	4.8328166007995605	0.69103193	Yes	
row_33	EPS8	1198	4.366520881652832	0.689692	Yes	
row_34	CXCR4	1338	3.869011640548706	0.68688697	Yes	
row_35	MSN	1447	3.5821895599365234	0.68580896	Yes	
row_36	MYO1G	1468	3.532787322998047	0.6910957	Yes	
row_37	HSD3B7	1470	3.5270144939422607	0.697766	Yes	
row_38	SRC	2015	2.469059944152832	0.6625573	No	
row_39	RPS19	2083	2.372912883758545	0.66217655	No	
row_40	SIRPA	2216	2.148496389389038	0.6565957	No	
row_41	ITGAL	2241	2.114417791366577	0.6588769	No	
row_42	ADGRE2	2295	2.048447370529175	0.65890336	No	
row_43	ITGB2	2317	2.0239412784576416	0.66123176	No	
row_44	IL16	2379	1.939649224281311	0.660463	No	
row_45	PECAM1	2393	1.924483299255371	0.6631884	No	
row_46	ITGA3	2576	1.7192789316177368	0.65311694	No	
row_47	AIMP1	2922	1.4000909328460693	0.63047093	No	
row_48	SRP54	3012	1.3184021711349487	0.6264591	No	
row_49	PIK3CG	3205	1.1476812362670898	0.6145607	No	
row_50	NEDD9	3499	0.9450508952140808	0.5948615	No	
row_51	FUT7	3624	0.8675421476364136	0.5874187	No	
row_52	CKLF	3683	0.8296111822128296	0.58474773	No	
row_53	IRAK4	3827	0.7429412603378296	0.57567203	No	
row_54	FOLR2	4268	0.5236813426017761	0.5443774	No	
row_55	FFAR2	4447	0.4411536157131195	0.5321557	No	
row_56	WNK1	4477	0.4281321167945862	0.5308457	No	
row_57	FUT4	4666	0.35874098539352417	0.51773244	No	
row_58	LYST	4687	0.34874603152275085	0.51693124	No	
row_59	TRPM2	5489	0.12270671874284744	0.45837253	No	
row_60	PIK3CD	5522	0.11667060852050781	0.45624682	No	
row_61	ADD2	5562	0.10889843106269836	0.45359245	No	
row_62	PPIA	5697	0.07796206325292587	0.44390592	No	
row_63	ITGA6	5746	0.06751004606485367	0.4405118	No	
row_64	TBX21	5763	0.06363535672426224	0.4394591	No	
row_65	SBDS	6090	0.0023722448386251926	0.41553524	No	
row_66	FER	7108	-0.17935605347156525	0.3412305	No	
row_67	FYN	7436	-0.2496902048587799	0.31770614	No	
row_68	F11R	7672	-0.30715322494506836	0.30104446	No	
row_69	LCK	7840	-0.3527051508426666	0.28946105	No	
row_70	PTPRO	8035	-0.4111393094062805	0.2760076	No	
row_71	JAM2	8123	-0.43439745903015137	0.27045235	No	
row_72	CCL1	8134	-0.43786776065826416	0.27055556	No	
row_73	ICAM1	8229	-0.46636369824409485	0.26454768	No	
row_74	SLC12A2	8323	-0.4982837438583374	0.2586742	No	
row_75	SOS1	8336	-0.5033407807350159	0.2587558	No	
row_76	SYK	9161	-0.7925420999526978	0.19978964	No	
row_77	MDK	9495	-0.9341673851013184	0.17713362	No	
row_78	IL10	9616	-0.9872970581054688	0.17021336	No	
row_79	ITGA4	9643	-1.0021390914916992	0.17022106	No	
row_80	CCR7	9773	-1.0608301162719727	0.16278079	No	
row_81	ITGB1	9818	-1.0819897651672363	0.16161996	No	
row_82	ROCK1	9829	-1.0884947776794434	0.16296718	No	
row_83	HMGB1	9862	-1.104990005493164	0.16273113	No	
row_84	MYH9	10381	-1.4029810428619385	0.1273925	No	
row_85	GBF1	10546	-1.520990014076233	0.11826307	No	
row_86	LYN	11212	-2.084872007369995	0.07343844	No	
row_87	GCNT1	11689	-2.6067698001861572	0.043484263	No	
row_88	SPN	11954	-2.954164505004883	0.029755084	No	
row_89	PODXL2	12135	-3.293501615524292	0.022840308	No	
row_90	PIKFYVE	12220	-3.4372448921203613	0.02324676	No	
row_91	ZAP70	12308	-3.5834953784942627	0.023712644	No	
row_92	PDE4B	12310	-3.5860798358917236	0.03049586	No	
row_93	NCKAP1L	12607	-4.341497898101807	0.017070476	No	
row_94	CXCL16	13390	-8.886704444885254	-0.023336776	No	
row_95	GATA3	13458	-9.813909530639648	-0.009490289	No	
row_96	S1PR1	13632	-14.982975006103516	0.006459109	No	
