NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	1	32.55608367919922	0.044236425	Yes	
row_1	RYK	33	22.668807983398438	0.07280693	Yes	
row_2	CXCR2	40	21.777881622314453	0.10200565	Yes	
row_3	NINJ1	48	21.14810562133789	0.1302736	Yes	
row_4	GAB1	60	19.98063087463379	0.15665804	Yes	
row_5	CTSG	69	19.29831314086914	0.18233472	Yes	
row_6	RNASE2	87	18.03096580505371	0.20562379	Yes	
row_7	FLT1	93	17.884048461914062	0.2295965	Yes	
row_8	RAC1	97	17.703866958618164	0.25347123	Yes	
row_9	CCL2	98	17.5739688873291	0.27739006	Yes	
row_10	ADAM8	111	16.90247344970703	0.29951137	Yes	
row_11	TREM1	116	16.723405838012695	0.32197803	Yes	
row_12	RNASE3	159	14.889826774597168	0.3391511	Yes	
row_13	SEMA6B	171	14.702180862426758	0.35835138	Yes	
row_14	CCR2	179	14.336682319641113	0.37734872	Yes	
row_15	S100A12	183	14.182222366333008	0.39643034	Yes	
row_16	GPNMB	198	13.674105644226074	0.4140105	Yes	
row_17	JAML	259	12.468265533447266	0.42656234	Yes	
row_18	S100A8	262	12.4019775390625	0.4432946	Yes	
row_19	GPR183	273	12.214827537536621	0.45918313	Yes	
row_20	S100A9	300	11.735074043273926	0.47324058	Yes	
row_21	ANXA1	316	11.373867988586426	0.48761636	Yes	
row_22	TRPM4	346	10.622767448425293	0.49993902	Yes	
row_23	SLAMF8	382	10.214643478393555	0.5112644	Yes	
row_24	C5AR1	405	9.871042251586914	0.52307934	Yes	
row_25	HBEGF	471	8.952507972717285	0.53047794	Yes	
row_26	CCR9	478	8.841407775878906	0.5420697	Yes	
row_27	FCER1G	503	8.590072631835938	0.5519939	Yes	
row_28	IL6R	538	8.101214408874512	0.5605165	Yes	
row_29	PTGDR2	562	7.860594272613525	0.5695215	Yes	
row_30	PIP5K1C	578	7.693892955780029	0.57888865	Yes	
row_31	PLAU	676	6.987455368041992	0.5812565	Yes	
row_32	CORO1A	698	6.841615200042725	0.5890219	Yes	
row_33	CX3CR1	722	6.657642364501953	0.5963897	Yes	
row_34	SLIT2	743	6.484004974365234	0.60374206	Yes	
row_35	PRKCD	796	6.1543402671813965	0.6082894	Yes	
row_36	TNFRSF11A	844	5.894005298614502	0.61285067	Yes	
row_37	DOCK4	848	5.882953643798828	0.6206367	Yes	
row_38	GAS6	850	5.873183727264404	0.6285567	Yes	
row_39	PPIB	870	5.748917102813721	0.63498217	Yes	
row_40	SEMA4C	880	5.709213733673096	0.64208996	Yes	
row_41	CCL25	910	5.538437843322754	0.64749265	Yes	
row_42	BSG	1065	4.8328166007995605	0.6427309	Yes	
row_43	PTPRJ	1082	4.784279823303223	0.6480644	Yes	
row_44	ELMO2	1125	4.60953950881958	0.6512456	Yes	
row_45	CORO1B	1265	4.148340702056885	0.64665675	Yes	
row_46	ACKR4	1330	3.8878307342529297	0.64723575	Yes	
row_47	CXCR4	1338	3.869011640548706	0.65198624	Yes	
row_48	HSD3B7	1470	3.5270144939422607	0.6471408	No	
row_49	ACKR3	1618	3.1780097484588623	0.6406422	No	
row_50	RHOG	1667	3.0917153358459473	0.6413158	No	
row_51	SEMA3G	1705	3.0269932746887207	0.6427113	No	
row_52	PLAUR	1711	3.0147111415863037	0.6464462	No	
row_53	FES	1753	2.945084571838379	0.6474357	No	
row_54	PIK3CB	2054	2.42149019241333	0.6286418	No	
row_55	VEGFA	2068	2.39382266998291	0.63094264	No	
row_56	RPS19	2083	2.372912883758545	0.6331414	No	
row_57	LGR6	2175	2.2129881381988525	0.6294528	No	
row_58	SEMA4B	2276	2.076941728591919	0.6249164	No	
row_59	ADGRE2	2295	2.048447370529175	0.626379	No	
row_60	ITGB2	2317	2.0239412784576416	0.6275874	No	
row_61	IL16	2379	1.939649224281311	0.62573576	No	
row_62	SEMA6C	2412	1.9026093482971191	0.62596905	No	
row_63	ENPP2	2567	1.7269903421401978	0.6169802	No	
row_64	ARRB2	2739	1.5707052946090698	0.60652685	No	
row_65	EGR3	2859	1.4548842906951904	0.59974474	No	
row_66	SRP54	3012	1.3184021711349487	0.59034705	No	
row_67	WDR1	3112	1.2171356678009033	0.584714	No	
row_68	PIK3CG	3205	1.1476812362670898	0.57950187	No	
row_69	BIN2	3282	1.088857889175415	0.57538784	No	
row_70	PIP5K1A	3325	1.0567398071289062	0.5737335	No	
row_71	CKLF	3683	0.8296111822128296	0.54857594	No	
row_72	FOLR2	4268	0.5236813426017761	0.5062874	No	
row_73	PDGFA	4325	0.4987349510192871	0.5028428	No	
row_74	MAPK14	4397	0.4635290503501892	0.4982458	No	
row_75	FFAR2	4447	0.4411536157131195	0.49523824	No	
row_76	HMGB2	4522	0.4094359278678894	0.4903467	No	
row_77	RALA	4686	0.34888148307800293	0.4788195	No	
row_78	LYST	4687	0.34874603152275085	0.47929415	No	
row_79	RAC2	4781	0.3194667100906372	0.47288114	No	
row_80	SLIT1	5145	0.20613183081150055	0.4464332	No	
row_81	PLXNB3	5197	0.1945236325263977	0.4429427	No	
row_82	MAPK1	5281	0.17373700439929962	0.4370677	No	
row_83	PDGFRB	5345	0.1566924899816513	0.4326421	No	
row_84	TRPM2	5489	0.12270671874284744	0.4222797	No	
row_85	SEMA3A	5519	0.11706043779850006	0.42030367	No	
row_86	PIK3CD	5522	0.11667060852050781	0.4203152	No	
row_87	HGF	5580	0.10581975430250168	0.4162622	No	
row_88	PPIA	5697	0.07796206325292587	0.40782696	No	
row_89	TSC2	5961	0.021571312099695206	0.38849103	No	
row_90	SBDS	6090	0.0023722448386251926	0.37906933	No	
row_91	NR4A1	6533	-0.06562597304582596	0.34661317	No	
row_92	RALBP1	6656	-0.08540154993534088	0.33774626	No	
row_93	SCN1B	6721	-0.09632658213376999	0.3331649	No	
row_94	RAB13	6922	-0.1386740803718567	0.3186272	No	
row_95	SEMA4G	7000	-0.1542760580778122	0.31316748	No	
row_96	FER	7108	-0.17935605347156525	0.30553293	No	
row_97	WNT7B	7669	-0.30651363730430603	0.26471603	No	
row_98	CCR10	7686	-0.3110297620296478	0.26396126	No	
row_99	PLP2	7831	-0.3509831428527832	0.2538359	No	
row_100	ACKR2	7904	-0.3725056052207947	0.24904136	No	
row_101	PTPRO	8035	-0.4111393094062805	0.24002875	No	
row_102	RHOA	8122	-0.43417590856552124	0.2342873	No	
row_103	CCL1	8134	-0.43786776065826416	0.2340733	No	
