NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTIF3	528	8.204066276550293	-0.010893197	No	
row_1	FASTKD5	1000	5.13063383102417	-0.028069232	No	
row_2	MRPL47	1156	4.480673789978027	-0.024201956	No	
row_3	HSD17B10	1398	3.7185957431793213	-0.029262898	No	
row_4	MRPS18C	1475	3.5129780769348145	-0.022880003	No	
row_5	TRMT5	1838	2.772963762283325	-0.04007114	No	
row_6	MRPS6	2187	2.1962382793426514	-0.05819805	No	
row_7	FOXO3	2409	1.9036409854888916	-0.067974664	No	
row_8	RARS2	2572	1.722689151763916	-0.07402549	No	
row_9	IARS2	2591	1.706875205039978	-0.06953109	No	
row_10	TFB2M	2631	1.6714420318603516	-0.0667032	No	
row_11	MRPL44	2833	1.4789930582046509	-0.076455474	No	
row_12	DAP3	3201	1.1490732431411743	-0.09955101	No	
row_13	MRPS10	3383	1.0102876424789429	-0.10942914	No	
row_14	GARS1	3596	0.884673535823822	-0.1220173	No	
row_15	MRPL54	3902	0.6964938044548035	-0.1420923	No	
row_16	MRPL13	4231	0.5397263169288635	-0.1643947	No	
row_17	FASTKD2	4235	0.5385659337043762	-0.16277938	No	
row_18	MRPS5	4406	0.45849791169166565	-0.17372909	No	
row_19	FASTK	4589	0.3861352801322937	-0.18580876	No	
row_20	MRPL4	4840	0.3010459244251251	-0.2031837	No	
row_21	AURKAIP1	5035	0.24294069409370422	-0.21663484	No	
row_22	MRPS33	5137	0.209310382604599	-0.22335535	No	
row_23	MTERF1	5142	0.2067001312971115	-0.22294506	No	
row_24	MRPL34	5147	0.20553766191005707	-0.22253874	No	
row_25	GADD45GIP1	5201	0.19283431768417358	-0.22578238	No	
row_26	MRPS22	5274	0.1747528463602066	-0.23048617	No	
row_27	MRPL55	5313	0.16459637880325317	-0.232722	No	
row_28	MRPL18	5380	0.14742295444011688	-0.23707733	No	
row_29	MRPL9	5390	0.14493300020694733	-0.23724565	No	
row_30	MRPL41	5405	0.14189684391021729	-0.23779236	No	
row_31	MRPL20	5482	0.12382610887289047	-0.24296418	No	
row_32	TRIT1	5491	0.12262305617332458	-0.24313496	No	
row_33	TRMT10C	5511	0.11899395287036896	-0.24412777	No	
row_34	MRPL27	5813	0.05328616499900818	-0.26610127	No	
row_35	MRPL58	5911	0.03042140044271946	-0.27313724	No	
row_36	GFM1	6004	0.014855919405817986	-0.27985826	No	
row_37	MRPL14	6033	0.010304332710802555	-0.28188407	No	
row_38	METTL8	6039	0.009155592881143093	-0.2822209	No	
row_39	MRPS11	6056	0.007004371378570795	-0.2833747	No	
row_40	MRPL32	6063	0.005945479031652212	-0.28379607	No	
row_41	MRPL40	6100	0.0015005870955064893	-0.28644073	No	
row_42	GFM2	6120	-5.101269343867898E-4	-0.2878375	No	
row_43	DARS2	6122	-5.852747708559036E-4	-0.2879091	No	
row_44	FASTKD3	6195	-0.009082861244678497	-0.29317772	No	
row_45	CHCHD1	6285	-0.021189536899328232	-0.29965633	No	
row_46	MTRF1	6296	-0.023183736950159073	-0.30031335	No	
row_47	MRPS31	6313	-0.02508537843823433	-0.3014055	No	
row_48	TEFM	6343	-0.029936373233795166	-0.30343798	No	
row_49	MRPL15	6360	-0.032170481979846954	-0.304506	No	
row_50	NDUFA7	6479	-0.052826184779405594	-0.3130113	No	
row_51	MRPL24	6829	-0.117835633456707	-0.33829775	No	
row_52	MTERF3	7193	-0.19799485802650452	-0.3643414	No	
row_53	FASTKD1	7367	-0.2358194887638092	-0.37627113	No	
row_54	MRPL46	7553	-0.27668535709381104	-0.38894477	No	
row_55	PUS1	7606	-0.2884354293346405	-0.39178887	No	
row_56	MRPS21	7643	-0.29893991351127625	-0.39341947	No	
row_57	MTERF4	7879	-0.36232566833496094	-0.4094814	No	
row_58	MRPL35	7920	-0.377807080745697	-0.41113755	No	
row_59	MTERF2	7988	-0.3987756371498108	-0.41470954	No	
row_60	TBRG4	8009	-0.4036806523799896	-0.41480535	No	
row_61	MRPS25	8023	-0.4074687361717224	-0.41437304	No	
row_62	MRPS14	8029	-0.4096190929412842	-0.41334453	No	
row_63	MRPL1	8090	-0.4230039715766907	-0.41631868	No	
row_64	MRPS34	8133	-0.43782299757003784	-0.41791743	No	
row_65	MRPL50	8248	-0.4731680750846863	-0.42469522	No	
row_66	TSFM	8480	-0.5517580509185791	-0.4398169	No	
row_67	TRNT1	8550	-0.5774142146110535	-0.44292706	No	
row_68	MRPL33	8577	-0.5876961946487427	-0.44283715	No	
row_69	SLC25A33	8580	-0.5880861282348633	-0.4409794	No	
row_70	MTRF1L	8592	-0.5926602482795715	-0.43976846	No	
row_71	MRPL43	8706	-0.625810444355011	-0.44595227	No	
row_72	MRPS23	8725	-0.6285057663917542	-0.44513437	No	
row_73	TFB1M	8742	-0.6358065009117126	-0.4441444	No	
row_74	MRPL3	8796	-0.6576361060142517	-0.44580337	No	
row_75	MTPAP	8870	-0.6819800138473511	-0.44885147	No	
row_76	MRPL36	8950	-0.708671510219574	-0.45225018	No	
row_77	MRPS7	9095	-0.7671597599983215	-0.4602338	No	
row_78	GATC	9104	-0.7714014053344727	-0.4581927	No	
row_79	YARS2	9117	-0.776199460029602	-0.45642966	No	
row_80	MRPL51	9305	-0.8517266511917114	-0.46729	No	
row_81	MRPL52	9396	-0.8924866318702698	-0.4708717	No	
row_82	HARS1	9442	-0.9082611203193665	-0.47108737	No	
row_83	MRPL30	9749	-1.0499016046524048	-0.4900311	No	
row_84	MRPS15	9897	-1.12523353099823	-0.49701476	No	
row_85	MRPS28	9901	-1.126550555229187	-0.4933948	No	
row_86	MTG1	10045	-1.2085814476013184	-0.4997999	No	
row_87	POLRMT	10407	-1.4288395643234253	-0.5215	No	
row_88	TFAM	10463	-1.4613292217254639	-0.5205661	No	
row_89	TRMT61B	10490	-1.4813036918640137	-0.5174296	No	
row_90	PRORP	10627	-1.5773354768753052	-0.52206224	No	
row_91	MRPL22	11209	-2.0812995433807373	-0.55773103	Yes	
row_92	MRPL48	11242	-2.1132490634918213	-0.55288166	Yes	
row_93	MRPL2	11265	-2.137881278991699	-0.54721224	Yes	
row_94	MTO1	11287	-2.154698371887207	-0.5414119	Yes	
row_95	MRPS35	11493	-2.365995168685913	-0.5484345	Yes	
row_96	MRPL12	11521	-2.4037084579467773	-0.5422268	Yes	
row_97	AARS2	11555	-2.444856882095337	-0.53632045	Yes	
row_98	MRPS18A	11558	-2.4466421604156494	-0.52812624	Yes	
row_99	MRPS30	11586	-2.4770419597625732	-0.52166855	Yes	
row_100	MRPS9	11620	-2.5114290714263916	-0.51553524	Yes	
row_101	SUPV3L1	11682	-2.59063720703125	-0.51119286	Yes	
row_102	TUFM	11691	-2.6081933975219727	-0.5028895	Yes	
row_103	MRPL57	11834	-2.7881669998168945	-0.5038357	Yes	
row_104	MRPL45	11965	-2.9650933742523193	-0.50329536	Yes	
row_105	PNPT1	12105	-3.215191602706909	-0.50256485	Yes	
row_106	MRPL39	12158	-3.3293533325195312	-0.49504146	Yes	
row_107	MRPS16	12284	-3.5429279804229736	-0.49216312	Yes	
row_108	MRPL42	12367	-3.725579261779785	-0.48549703	Yes	
row_109	MRPS17	12370	-3.7330894470214844	-0.4729169	Yes	
row_110	TARS2	12401	-3.8068456649780273	-0.46214628	Yes	
row_111	MRPS26	12461	-3.9400827884674072	-0.45305598	Yes	
row_112	MTIF2	12488	-4.010162353515625	-0.44129774	Yes	
row_113	EARS2	12546	-4.1673054695129395	-0.43128553	Yes	
row_114	MRPL16	12598	-4.315720081329346	-0.4203257	Yes	
row_115	MRPS27	12632	-4.412665367126465	-0.40771046	Yes	
row_116	MRPL38	12658	-4.475616931915283	-0.39429176	Yes	
row_117	MRPL17	12675	-4.546314716339111	-0.37996957	Yes	
row_118	MRPL19	12683	-4.568055629730225	-0.3649108	Yes	
row_119	MRPL21	12751	-4.784900665283203	-0.35352907	Yes	
row_120	MRPL37	12827	-5.0555219650268555	-0.34181353	Yes	
row_121	MRPL10	12898	-5.338807582855225	-0.32876417	Yes	
row_122	LARS2	12952	-5.548644542694092	-0.3137481	Yes	
row_123	TWNK	13054	-6.089728832244873	-0.30042034	Yes	
row_124	GATB	13185	-6.949880123138428	-0.2862946	Yes	
row_125	MRPS2	13285	-7.77445125579834	-0.26707587	Yes	
row_126	MRPL28	13301	-7.963261604309082	-0.2410306	Yes	
row_127	MRPL53	13306	-8.020852088928223	-0.21397932	Yes	
row_128	WARS2	13343	-8.309357643127441	-0.18829979	Yes	
row_129	ELAC2	13356	-8.42341423034668	-0.16046488	Yes	
row_130	MRPL49	13452	-9.70152473449707	-0.13438171	Yes	
row_131	RPUSD4	13463	-9.931933403015137	-0.101256564	Yes	
row_132	QRSL1	13494	-10.372395515441895	-0.06810184	Yes	
row_133	PTCD3	13537	-11.265559196472168	-0.032785293	Yes	
row_134	MRPL11	13604	-13.545683860778809	0.008538421	Yes	
