NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL47	1156	4.480673789978027	-0.059679884	No	
row_1	MRPS18C	1475	3.5129780769348145	-0.063331075	No	
row_2	MRPS6	2187	2.1962382793426514	-0.10317005	No	
row_3	MRPL44	2833	1.4789930582046509	-0.14218482	No	
row_4	DAP3	3201	1.1490732431411743	-0.1626623	No	
row_5	MRPS10	3383	1.0102876424789429	-0.17027834	No	
row_6	MRPL54	3902	0.6964938044548035	-0.2043614	No	
row_7	MRPL13	4231	0.5397263169288635	-0.2253904	No	
row_8	MRPS5	4406	0.45849791169166565	-0.23558216	No	
row_9	MRPL4	4840	0.3010459244251251	-0.2656464	No	
row_10	AURKAIP1	5035	0.24294069409370422	-0.27851135	No	
row_11	MRPS33	5137	0.209310382604599	-0.28474537	No	
row_12	MRPL34	5147	0.20553766191005707	-0.28425467	No	
row_13	GADD45GIP1	5201	0.19283431768417358	-0.28706136	No	
row_14	MRPS22	5274	0.1747528463602066	-0.29136246	No	
row_15	MRPL55	5313	0.16459637880325317	-0.29322734	No	
row_16	MRPL18	5380	0.14742295444011688	-0.29724148	No	
row_17	MRPL9	5390	0.14493300020694733	-0.29709005	No	
row_18	MRPL41	5405	0.14189684391021729	-0.29732224	No	
row_19	MRPL20	5482	0.12382610887289047	-0.30220172	No	
row_20	MRPL27	5813	0.05328616499900818	-0.32610053	No	
row_21	MRPL58	5911	0.03042140044271946	-0.33304268	No	
row_22	GFM1	6004	0.014855919405817986	-0.33970538	No	
row_23	MRPL14	6033	0.010304332710802555	-0.3417008	No	
row_24	MRPS11	6056	0.007004371378570795	-0.3432747	No	
row_25	MRPL32	6063	0.005945479031652212	-0.3436814	No	
row_26	MRPL40	6100	0.0015005870955064893	-0.34631267	No	
row_27	CHCHD1	6285	-0.021189536899328232	-0.35968575	No	
row_28	MRPS31	6313	-0.02508537843823433	-0.3615251	No	
row_29	MRPL15	6360	-0.032170481979846954	-0.36471793	No	
row_30	OXA1L	6612	-0.07778637111186981	-0.3826869	No	
row_31	MRPL24	6829	-0.117835633456707	-0.39786536	No	
row_32	MRPL46	7553	-0.27668535709381104	-0.4493301	No	
row_33	MRPS21	7643	-0.29893991351127625	-0.45418248	No	
row_34	MRPL35	7920	-0.377807080745697	-0.47230506	No	
row_35	MRPS25	8023	-0.4074687361717224	-0.4775031	No	
row_36	MRPS14	8029	-0.4096190929412842	-0.47557664	No	
row_37	MRPL1	8090	-0.4230039715766907	-0.47760808	No	
row_38	MRPS34	8133	-0.43782299757003784	-0.47823673	No	
row_39	MRPL50	8248	-0.4731680750846863	-0.4839469	No	
row_40	TSFM	8480	-0.5517580509185791	-0.49779606	No	
