NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTIF3	528	8.204066276550293	0.0043952595	No	
row_1	MRPL47	1156	4.480673789978027	-0.01803424	No	
row_2	MRPS18C	1475	3.5129780769348145	-0.022891494	No	
row_3	MRPS6	2187	2.1962382793426514	-0.063484475	No	
row_4	MRPL44	2833	1.4789930582046509	-0.103007	No	
row_5	DAP3	3201	1.1490732431411743	-0.12387898	No	
row_6	MRPS10	3383	1.0102876424789429	-0.13184187	No	
row_7	MRPL54	3902	0.6964938044548035	-0.16616406	No	
row_8	MRPL13	4231	0.5397263169288635	-0.18737835	No	
row_9	MRPS5	4406	0.45849791169166565	-0.19772752	No	
row_10	MRPL4	4840	0.3010459244251251	-0.2278951	No	
row_11	AURKAIP1	5035	0.24294069409370422	-0.24084346	No	
row_12	MRPS33	5137	0.209310382604599	-0.24714936	No	
row_13	MRPL34	5147	0.20553766191005707	-0.24672922	No	
row_14	GADD45GIP1	5201	0.19283431768417358	-0.24960212	No	
row_15	MRPS22	5274	0.1747528463602066	-0.2539632	No	
row_16	MRPL55	5313	0.16459637880325317	-0.25588462	No	
row_17	MRPL18	5380	0.14742295444011688	-0.25994936	No	
row_18	MRPL9	5390	0.14493300020694733	-0.25984767	No	
row_19	MRPL41	5405	0.14189684391021729	-0.2601286	No	
row_20	MRPL20	5482	0.12382610887289047	-0.26505056	No	
row_21	MRPL27	5813	0.05328616499900818	-0.28896767	No	
row_22	MRPL58	5911	0.03042140044271946	-0.29592028	No	
row_23	MRPL14	6033	0.010304332710802555	-0.3047384	No	
row_24	MRPS11	6056	0.007004371378570795	-0.30631474	No	
row_25	MRPL32	6063	0.005945479031652212	-0.30672345	No	
row_26	MRPL40	6100	0.0015005870955064893	-0.30935523	No	
row_27	CHCHD1	6285	-0.021189536899328232	-0.3227356	No	
row_28	MRPS31	6313	-0.02508537843823433	-0.32458356	No	
row_29	MRPL15	6360	-0.032170481979846954	-0.32778743	No	
row_30	OXA1L	6612	-0.07778637111186981	-0.34578314	No	
row_31	MRPL24	6829	-0.117835633456707	-0.36100203	No	
row_32	MRPL46	7553	-0.27668535709381104	-0.41256174	No	
row_33	MRPS21	7643	-0.29893991351127625	-0.41751677	No	
row_34	MRPL35	7920	-0.377807080745697	-0.43576905	No	
