NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL47	1156	4.480673789978027	-0.05974698	No	
row_1	MRPS18C	1475	3.5129780769348145	-0.063450776	No	
row_2	MRPS6	2187	2.1962382793426514	-0.10332264	No	
row_3	MRPL44	2833	1.4789930582046509	-0.14235955	No	
row_4	DAP3	3201	1.1490732431411743	-0.16285424	No	
row_5	MRPS10	3383	1.0102876424789429	-0.1704854	No	
row_6	MRPL54	3902	0.6964938044548035	-0.2045789	No	
row_7	MRPL13	4231	0.5397263169288635	-0.225616	No	
row_8	MRPS5	4406	0.45849791169166565	-0.2358146	No	
row_9	MRPL4	4840	0.3010459244251251	-0.26588336	No	
row_10	AURKAIP1	5035	0.24294069409370422	-0.27875194	No	
row_11	MRPS33	5137	0.209310382604599	-0.28498912	No	
row_12	MRPL34	5147	0.20553766191005707	-0.2845015	No	
row_13	GADD45GIP1	5201	0.19283431768417358	-0.28731108	No	
row_14	MRPS22	5274	0.1747528463602066	-0.29161477	No	
row_15	MRPL55	5313	0.16459637880325317	-0.29348212	No	
row_16	MRPL18	5380	0.14742295444011688	-0.29749846	No	
row_17	MRPL9	5390	0.14493300020694733	-0.2973492	No	
row_18	MRPL41	5405	0.14189684391021729	-0.29758352	No	
row_19	MRPL20	5482	0.12382610887289047	-0.30246487	No	
row_20	MRPL27	5813	0.05328616499900818	-0.32636446	No	
row_21	MRPL58	5911	0.03042140044271946	-0.3333071	No	
row_22	MRPL14	6033	0.010304332710802555	-0.3421218	No	
row_23	MRPS11	6056	0.007004371378570795	-0.34369585	No	
row_24	MRPL32	6063	0.005945479031652212	-0.34410262	No	
row_25	MRPL40	6100	0.0015005870955064893	-0.3467339	No	
row_26	GFM2	6120	-5.101269343867898E-4	-0.34812424	No	
row_27	CHCHD1	6285	-0.021189536899328232	-0.36003116	No	
row_28	MRPS31	6313	-0.02508537843823433	-0.36187086	No	
row_29	MRPL15	6360	-0.032170481979846954	-0.36506417	No	
row_30	OXA1L	6612	-0.07778637111186981	-0.38303435	No	
row_31	MRPL24	6829	-0.117835633456707	-0.39821455	No	
row_32	MRPL46	7553	-0.27668535709381104	-0.44968343	No	
row_33	MRPS21	7643	-0.29893991351127625	-0.45454028	No	
row_34	MRPL35	7920	-0.377807080745697	-0.4726685	No	
row_35	MRPS25	8023	-0.4074687361717224	-0.47787267	No	
row_36	MRPS14	8029	-0.4096190929412842	-0.47595233	No	
