NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTIF3	528	8.204066276550293	-0.0037881248	No	
row_1	MRPL47	1156	4.480673789978027	-0.030723471	No	
row_2	MRPS18C	1475	3.5129780769348145	-0.039094746	No	
row_3	MRPS6	2187	2.1962382793426514	-0.08193977	No	
row_4	RARS2	2572	1.722689151763916	-0.10279179	No	
row_5	IARS2	2591	1.706875205039978	-0.09683505	No	
row_6	MRPL44	2833	1.4789930582046509	-0.108225435	No	
row_7	DAP3	3201	1.1490732431411743	-0.13027515	No	
row_8	MRPS10	3383	1.0102876424789429	-0.13925827	No	
row_9	GARS1	3596	0.884673535823822	-0.15105344	No	
row_10	MRPL54	3902	0.6964938044548035	-0.17048025	No	
row_11	MRPL13	4231	0.5397263169288635	-0.1922645	No	
row_12	FASTKD2	4235	0.5385659337043762	-0.19018823	No	
row_13	MRPS5	4406	0.45849791169166565	-0.20071656	No	
row_14	MRPL4	4840	0.3010459244251251	-0.23122898	No	
row_15	AURKAIP1	5035	0.24294069409370422	-0.24443887	No	
row_16	MRPS33	5137	0.209310382604599	-0.25096297	No	
row_17	MRPL34	5147	0.20553766191005707	-0.2507474	No	
row_18	GADD45GIP1	5201	0.19283431768417358	-0.25381702	No	
row_19	MRPS22	5274	0.1747528463602066	-0.25835896	No	
row_20	MRPL55	5313	0.16459637880325317	-0.2604475	No	
row_21	MRPL18	5380	0.14742295444011688	-0.2646654	No	
row_22	MRPL9	5390	0.14493300020694733	-0.26470825	No	
row_23	MRPL41	5405	0.14189684391021729	-0.2651312	No	
row_24	MRPL20	5482	0.12382610887289047	-0.27018404	No	
row_25	MRPL27	5813	0.05328616499900818	-0.29418945	No	
row_26	MRPL58	5911	0.03042140044271946	-0.30118266	No	
row_27	GFM1	6004	0.014855919405817986	-0.30787507	No	
row_28	MRPL14	6033	0.010304332710802555	-0.30988723	No	
row_29	MRPS11	6056	0.007004371378570795	-0.31147286	No	
row_30	MRPL32	6063	0.005945479031652212	-0.3118881	No	
row_31	MRPL40	6100	0.0015005870955064893	-0.31452528	No	
row_32	GFM2	6120	-5.101269343867898E-4	-0.3159183	No	
row_33	DARS2	6122	-5.852747708559036E-4	-0.31598926	No	
row_34	CHCHD1	6285	-0.021189536899328232	-0.3277949	No	
row_35	MTRF1	6296	-0.023183736950159073	-0.32843035	No	
row_36	MRPS31	6313	-0.02508537843823433	-0.32949832	No	
row_37	MRPL15	6360	-0.032170481979846954	-0.33273903	No	
row_38	NDUFA7	6479	-0.052826184779405594	-0.34117875	No	
row_39	MRPL24	6829	-0.117835633456707	-0.36630413	No	
row_40	MRPL46	7553	-0.27668535709381104	-0.41821575	No	
row_41	MRPS21	7643	-0.29893991351127625	-0.4234765	No	
