NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTIF3	528	8.204066276550293	0.0028848457	No	
row_1	MRPL47	1156	4.480673789978027	-0.0203805	No	
row_2	MRPS18C	1475	3.5129780769348145	-0.025887478	No	
row_3	MRPS6	2187	2.1962382793426514	-0.06690319	No	
row_4	MRPL44	2833	1.4789930582046509	-0.10671575	No	
row_5	DAP3	3201	1.1490732431411743	-0.12780873	No	
row_6	MRPS10	3383	1.0102876424789429	-0.13596137	No	
row_7	MRPL54	3902	0.6964938044548035	-0.17042705	No	
row_8	MRPL13	4231	0.5397263169288635	-0.19175018	No	
row_9	MRPS5	4406	0.45849791169166565	-0.20218842	No	
row_10	MRPL4	4840	0.3010459244251251	-0.23242478	No	
row_11	AURKAIP1	5035	0.24294069409370422	-0.24542363	No	
row_12	MRPS33	5137	0.209310382604599	-0.25177088	No	
row_13	MRPL34	5147	0.20553766191005707	-0.25138846	No	
row_14	GADD45GIP1	5201	0.19283431768417358	-0.25429815	No	
row_15	MRPS22	5274	0.1747528463602066	-0.25869337	No	
row_16	MRPL55	5313	0.16459637880325317	-0.260646	No	
row_17	MRPL18	5380	0.14742295444011688	-0.2647397	No	
row_18	MRPL9	5390	0.14493300020694733	-0.26466468	No	
row_19	MRPL41	5405	0.14189684391021729	-0.26497188	No	
row_20	MRPL20	5482	0.12382610887289047	-0.26991886	No	
row_21	MRPL27	5813	0.05328616499900818	-0.2938563	No	
row_22	MRPL58	5911	0.03042140044271946	-0.30081758	No	
row_23	GFM1	6004	0.014855919405817986	-0.30749103	No	
row_24	MRPL14	6033	0.010304332710802555	-0.30949277	No	
row_25	MRPS11	6056	0.007004371378570795	-0.31107107	No	
row_26	MRPL32	6063	0.005945479031652212	-0.31148106	No	
row_27	MRPL40	6100	0.0015005870955064893	-0.3141143	No	
row_28	GFM2	6120	-5.101269343867898E-4	-0.31550547	No	
row_29	CHCHD1	6285	-0.021189536899328232	-0.32742852	No	
row_30	MRPS31	6313	-0.02508537843823433	-0.3292819	No	
row_31	MRPL15	6360	-0.032170481979846954	-0.33249313	No	
row_32	OXA1L	6612	-0.07778637111186981	-0.35051107	No	
row_33	MRPL24	6829	-0.117835633456707	-0.3657584	No	
row_34	MRPL46	7553	-0.27668535709381104	-0.4173918	No	
row_35	MRPS21	7643	-0.29893991351127625	-0.4224041	No	
row_36	MRPL35	7920	-0.377807080745697	-0.4407341	No	
row_37	MRPS25	8023	-0.4074687361717224	-0.4461495	No	
row_38	MRPS14	8029	-0.4096190929412842	-0.44443837	No	
row_39	MRPL1	8090	-0.4230039715766907	-0.446694	No	
row_40	MRPS34	8133	-0.43782299757003784	-0.447554	No	
row_41	MRPL50	8248	-0.4731680750846863	-0.4535164	No	
row_42	TSFM	8480	-0.5517580509185791	-0.4676629	No	
row_43	MRPL33	8577	-0.5876961946487427	-0.4717239	No	
row_44	MTRF1L	8592	-0.5926602482795715	-0.46974447	No	
row_45	MRPL43	8706	-0.625810444355011	-0.4748592	No	
row_46	MRPS23	8725	-0.6285057663917542	-0.47299138	No	
row_47	MRPL3	8796	-0.6576361060142517	-0.47479033	No	
row_48	MRPL36	8950	-0.708671510219574	-0.482419	No	
row_49	MRPS7	9095	-0.7671597599983215	-0.48909077	No	
row_50	MRPL51	9305	-0.8517266511917114	-0.50010175	No	
row_51	MRPL52	9396	-0.8924866318702698	-0.50217646	No	
row_52	MRPL30	9749	-1.0499016046524048	-0.5226722	No	
row_53	MRPS15	9897	-1.12523353099823	-0.5277476	No	
row_54	MRPS28	9901	-1.126550555229187	-0.522253	No	
row_55	MRPL22	11209	-2.0812995433807373	-0.6075724	Yes	
row_56	MRPL48	11242	-2.1132490634918213	-0.5991998	Yes	
row_57	MRPL2	11265	-2.137881278991699	-0.5899687	Yes	
row_58	MRPS35	11493	-2.365995168685913	-0.59461856	Yes	
row_59	MRPL12	11521	-2.4037084579467773	-0.5844058	Yes	
row_60	MRPS18A	11558	-2.4466421604156494	-0.5746354	Yes	
row_61	MRPS30	11586	-2.4770419597625732	-0.5640506	Yes	
row_62	MRPS9	11620	-2.5114290714263916	-0.5537315	Yes	
row_63	TUFM	11691	-2.6081933975219727	-0.54563576	Yes	
row_64	MTFMT	11707	-2.631348133087158	-0.5333879	Yes	
row_65	MRPL57	11834	-2.7881669998168945	-0.52848715	Yes	
row_66	MRPL45	11965	-2.9650933742523193	-0.52298236	Yes	
row_67	MRRF	12030	-3.060760498046875	-0.5121507	Yes	
row_68	MRPL39	12158	-3.3293533325195312	-0.504578	Yes	
row_69	MRPS16	12284	-3.5429279804229736	-0.4957752	Yes	
row_70	MRPL42	12367	-3.725579261779785	-0.48289147	Yes	
row_71	MRPS17	12370	-3.7330894470214844	-0.46410114	Yes	
row_72	MRPS26	12461	-3.9400827884674072	-0.45071617	Yes	
row_73	MTIF2	12488	-4.010162353515625	-0.43228087	Yes	
row_74	MRPL16	12598	-4.315720081329346	-0.41838416	Yes	
row_75	MRPS27	12632	-4.412665367126465	-0.39842054	Yes	
row_76	MRPL38	12658	-4.475616931915283	-0.37755075	Yes	
row_77	MRPL17	12675	-4.546314716339111	-0.3556621	Yes	
row_78	MRPL19	12683	-4.568055629730225	-0.33300295	Yes	
row_79	MRPL21	12751	-4.784900665283203	-0.3136452	Yes	
row_80	MRPL37	12827	-5.0555219650268555	-0.29350156	Yes	
row_81	MRPL10	12898	-5.338807582855225	-0.27155405	Yes	
row_82	ERAL1	13202	-7.046166896820068	-0.25803766	Yes	
row_83	MRPS2	13285	-7.77445125579834	-0.22461502	Yes	
row_84	MRPL28	13301	-7.963261604309082	-0.18531968	Yes	
row_85	MRPL53	13306	-8.020852088928223	-0.14492527	Yes	
row_86	MRPL49	13452	-9.70152473449707	-0.10634852	Yes	
row_87	PTCD3	13537	-11.265559196472168	-0.05536304	Yes	
row_88	MRPL11	13604	-13.545683860778809	0.008509381	Yes	
