NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR2	40	21.777881622314453	0.07296825	Yes	
row_1	CTSG	69	19.29831314086914	0.1381737	Yes	
row_2	FCER2	141	15.534647941589355	0.18711425	Yes	
row_3	S100A12	183	14.182222366333008	0.23353806	Yes	
row_4	FOXP1	282	12.010087966918945	0.26821852	Yes	
row_5	ANXA1	316	11.373867988586426	0.3054408	Yes	
row_6	SLC11A1	391	10.056892395019531	0.33507147	Yes	
row_7	C5AR1	405	9.871042251586914	0.3685207	Yes	
row_8	TREM2	445	9.36080265045166	0.39828807	Yes	
row_9	PREX1	469	8.98885440826416	0.42793065	Yes	
row_10	MT1G	476	8.8919677734375	0.45848027	Yes	
row_11	FCER1G	503	8.590072631835938	0.48651344	Yes	
row_12	IFNGR1	510	8.456507682800293	0.5155454	Yes	
row_13	TYROBP	581	7.668793678283691	0.53714633	Yes	
row_14	CSF1	636	7.274923324584961	0.55854607	Yes	
row_15	BATF	685	6.9191765785217285	0.5791453	Yes	
row_16	GRN	688	6.910809516906738	0.6030834	Yes	
row_17	CX3CR1	722	6.657642364501953	0.6238694	Yes	
row_18	DCSTAMP	776	6.26005220413208	0.64180547	Yes	
row_19	PRKCD	796	6.1543402671813965	0.6618625	Yes	
row_20	NR4A3	933	5.415549278259277	0.6707784	Yes	
row_21	FCGR2B	1020	5.015725135803223	0.6819618	Yes	
row_22	SNAP23	1064	4.834610462188721	0.69566226	Yes	
row_23	ITGAM	1087	4.755561828613281	0.7106249	Yes	
row_24	LILRA2	1116	4.639723300933838	0.72474444	Yes	
row_25	DNASE1L3	1222	4.279511451721191	0.7319709	Yes	
row_26	CLU	1391	3.746154308319092	0.732726	Yes	
row_27	STXBP2	1577	3.2798707485198975	0.7306113	No	
row_28	PLCG2	2079	2.3750598430633545	0.7022067	No	
row_29	ADAM9	2165	2.230309247970581	0.703756	No	
row_30	ITGB2	2317	2.0239412784576416	0.6997537	No	
row_31	BATF3	2417	1.9007834196090698	0.6991295	No	
row_32	STXBP3	2826	1.4821242094039917	0.6744222	No	
row_33	TLR4	2896	1.4194741249084473	0.6743171	No	
row_34	APP	2997	1.3300787210464478	0.6716308	No	
row_35	PIK3CG	3205	1.1476812362670898	0.6604746	No	
row_36	DOCK2	4562	0.3970678746700287	0.56257594	No	
row_37	PYCARD	4595	0.38369491696357727	0.56157017	No	
row_38	HYAL2	4602	0.3795355558395386	0.56245357	No	
row_39	DHRS2	4677	0.3550477623939514	0.55827284	No	
row_40	DYSF	4959	0.2649901211261749	0.5386223	No	
row_41	TLR1	5351	0.1555412858724594	0.5105365	No	
row_42	PIK3CD	5522	0.11667060852050781	0.49849617	No	
row_43	CRTC3	5820	0.05144200474023819	0.47692996	No	
row_44	VAMP8	6050	0.00740321259945631	0.460189	No	
row_45	SBNO2	6291	-0.022399693727493286	0.44269496	No	
row_46	S100A13	6418	-0.042020831257104874	0.43361604	No	
row_47	JAK2	6587	-0.07311741262674332	0.4215704	No	
row_48	MILR1	6928	-0.14023754000663757	0.3971653	No	
row_49	CD93	7999	-0.4017508029937744	0.32022303	No	
row_50	AIF1	8055	-0.41502368450164795	0.31764248	No	
row_51	DNASE1	8380	-0.5186775326728821	0.29572773	No	
row_52	IFI35	9040	-0.7442339658737183	0.25007132	No	
row_53	SYK	9161	-0.7925420999526978	0.2440473	No	
row_54	TGFBR2	9496	-0.9350939989089966	0.22285162	No	
row_55	HMGB1	9862	-1.104990005493164	0.19997829	No	
row_56	TMEM106A	10358	-1.3910317420959473	0.16858362	No	
row_57	VAMP2	10927	-1.8178662061691284	0.13333161	No	
row_58	KARS1	11678	-2.5822784900665283	0.0874181	No	
row_59	KMT2E	11992	-3.0066866874694824	0.07497958	No	
row_60	ADAM10	12500	-4.054347038269043	0.051988065	No	
row_61	NMI	12579	-4.26747465133667	0.061149478	No	
row_62	SLAMF1	13101	-6.403959274291992	0.045321435	No	
