NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NLRP12	9	27.71112632751465	0.15461978	Yes	
row_1	MEFV	23	23.971895217895508	0.2879948	Yes	
row_2	INAVA	55	20.362504959106445	0.39982975	Yes	
row_3	NLRC4	212	13.389243125915527	0.46345773	Yes	
row_4	ORM1	221	13.17113208770752	0.53667676	Yes	
row_5	NOD2	222	13.163675308227539	0.61043847	Yes	
row_6	MYD88	229	13.052167892456055	0.683137	Yes	
row_7	TYROBP	581	7.668793678283691	0.7004638	Yes	
row_8	CARD8	620	7.387370586395264	0.73908204	Yes	
row_9	TLR6	789	6.202847480773926	0.7615648	Yes	
row_10	LILRA2	1116	4.639723300933838	0.76374495	Yes	
row_11	STAT3	2190	2.1943206787109375	0.6976451	No	
row_12	NLRP1	2243	2.1126585006713867	0.705684	No	
row_13	STMP1	2554	1.7377753257751465	0.69277227	No	
row_14	TLR4	2896	1.4194741249084473	0.67581207	No	
row_15	APP	2997	1.3300787210464478	0.6759589	No	
row_16	CASP8	3470	0.9645275473594666	0.64687824	No	
row_17	GBP5	3829	0.7421459555625916	0.6248806	No	
row_18	NLRP3	4527	0.40667837858200073	0.5762352	No	
row_19	PYCARD	4595	0.38369491696357727	0.57349	No	
row_20	CASP1	4645	0.3645627498626709	0.57195276	No	
row_21	RIPK2	5769	0.062040552496910095	0.49025175	No	
row_22	LGALS9	6200	-0.009709184989333153	0.45888948	No	
row_23	EGR1	6459	-0.04852726310491562	0.4403114	No	
row_24	JAK2	6587	-0.07311741262674332	0.43144223	No	
row_25	IFI16	8138	-0.4391409158706665	0.32065678	No	
row_26	FZD5	8714	-0.6269841194152832	0.2821594	No	
row_27	PANX1	9973	-1.1680220365524292	0.19679227	No	
row_28	TRIM16	10284	-1.3470476865768433	0.18169113	No	
row_29	TMEM106A	10358	-1.3910317420959473	0.18415216	No	
row_30	MALT1	10640	-1.5859699249267578	0.17250858	No	
row_31	HSPB1	11383	-2.2559282779693604	0.1309375	No	
row_32	RELA	11786	-2.73465633392334	0.11689001	No	
row_33	P2RX7	12610	-4.3435540199279785	0.08109876	No	
