NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NLRP12	9	27.71112632751465	0.1503181	Yes	
row_1	MEFV	23	23.971895217895508	0.27997178	Yes	
row_2	INAVA	55	20.362504959106445	0.38864526	Yes	
row_3	NLRC4	212	13.389243125915527	0.45019156	Yes	
row_4	ORM1	221	13.17113208770752	0.5213659	Yes	
row_5	NOD2	222	13.163675308227539	0.5930843	Yes	
row_6	MYD88	229	13.052167892456055	0.6637566	Yes	
row_7	TYROBP	581	7.668793678283691	0.6798855	Yes	
row_8	CARD8	620	7.387370586395264	0.71735626	Yes	
row_9	TLR6	789	6.202847480773926	0.7388726	Yes	
row_10	LILRA2	1116	4.639723300933838	0.74032557	Yes	
row_11	STAT3	2190	2.1943206787109375	0.6738622	No	
row_12	NLRP1	2243	2.1126585006713867	0.6815721	No	
row_13	TMED10	2331	1.997947096824646	0.68609905	No	
row_14	IL16	2379	1.939649224281311	0.6932317	No	
row_15	STMP1	2554	1.7377753257751465	0.68998295	No	
row_16	TLR4	2896	1.4194741249084473	0.6727951	No	
row_17	APP	2997	1.3300787210464478	0.6727333	No	
row_18	CASP8	3470	0.9645275473594666	0.6434929	No	
row_19	GBP5	3829	0.7421459555625916	0.6213724	No	
row_20	NLRP3	4527	0.40667837858200073	0.57264894	No	
row_21	PYCARD	4595	0.38369491696357727	0.5698428	No	
row_22	CASP1	4645	0.3645627498626709	0.5682479	No	
row_23	RIPK2	5769	0.062040552496910095	0.48651332	No	
row_24	LGALS9	6200	-0.009709184989333153	0.45514035	No	
row_25	S100A13	6418	-0.042020831257104874	0.4395102	No	
row_26	EGR1	6459	-0.04852726310491562	0.43685123	No	
row_27	JAK2	6587	-0.07311741262674332	0.42796803	No	
row_28	IFI16	8138	-0.4391409158706665	0.3170813	No	
row_29	FZD5	8714	-0.6269841194152832	0.27847427	No	
row_30	HMGB1	9862	-1.104990005493164	0.20066784	No	
row_31	PANX1	9973	-1.1680220365524292	0.1989923	No	
row_32	TRIM16	10284	-1.3470476865768433	0.18367544	No	
row_33	TMEM106A	10358	-1.3910317420959473	0.18591897	No	
row_34	MALT1	10640	-1.5859699249267578	0.17402323	No	
row_35	HSPB1	11383	-2.2559282779693604	0.13208611	No	
row_36	RELA	11786	-2.73465633392334	0.11760555	No	
row_37	P2RX7	12610	-4.3435540199279785	0.081122495	No	
