NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCLM	921	5.47340202331543	-0.044504583	No	
row_1	GGT1	942	5.384549617767334	-0.023365183	No	
row_2	GLUL	951	5.3313822746276855	-0.0015697323	No	
row_3	SEPHS2	1480	3.5000159740448	-0.02556334	No	
row_4	SLC25A13	2407	1.907334566116333	-0.08540495	No	
row_5	IL4I1	3035	1.2987474203109741	-0.12589349	No	
row_6	NAT8L	4003	0.6461784839630127	-0.19403364	No	
row_7	SERINC5	4042	0.6280463337898254	-0.19418134	No	
row_8	QDPR	4083	0.605654776096344	-0.19456957	No	
row_9	SERINC3	4281	0.51783686876297	-0.20683	No	
row_10	PIPOX	4298	0.5106821656227112	-0.20585844	No	
row_11	MRI1	4655	0.361951619386673	-0.23042335	No	
row_12	GLS	4660	0.3609815537929535	-0.229201	No	
row_13	ADI1	4990	0.2525425851345062	-0.2522469	No	
row_14	CSAD	5120	0.2152155637741089	-0.26079533	No	
row_15	SDSL	5455	0.13029108941555023	-0.2847208	No	
row_16	PSAT1	5473	0.12634511291980743	-0.285436	No	
row_17	SLC38A1	5490	0.12264499068260193	-0.28609347	No	
row_18	MTHFR	5942	0.024603866040706635	-0.31903532	No	
row_19	GCLC	5970	0.02038303017616272	-0.32092807	No	
row_20	ASS1	6121	-5.663966876454651E-4	-0.3319163	No	
row_21	MTHFS	6141	-0.0025174927432090044	-0.33329788	No	
row_22	FAH	6425	-0.04306207597255707	-0.35385272	No	
row_23	OAT	6837	-0.1208948865532875	-0.3834595	No	
row_24	NOXRED1	7214	-0.20253317058086395	-0.41015908	No	
row_25	MSRA	7241	-0.20918023586273193	-0.41118595	No	
row_26	NAGS	7285	-0.2165652960538864	-0.41342744	No	
row_27	NIT2	7459	-0.25421732664108276	-0.42503607	No	
row_28	MTRR	7597	-0.28441208600997925	-0.43388018	No	
row_29	AMT	7728	-0.32059353590011597	-0.44205952	No	
row_30	ASL	7789	-0.3404422402381897	-0.44502655	No	
row_31	GPT2	7883	-0.3648495376110077	-0.45030907	No	
row_32	RIDA	7951	-0.38835856318473816	-0.45358783	No	
row_33	SHMT1	8447	-0.5416387915611267	-0.48758304	No	
row_34	SIRT4	8701	-0.6242682933807373	-0.5034998	No	
row_35	ARG2	8954	-0.7096101641654968	-0.51898503	No	
row_36	AASS	9085	-0.7622948884963989	-0.5253101	No	
row_37	SEPHS1	9502	-0.9404873251914978	-0.5518425	No	
row_38	PYCR2	9790	-1.069219946861267	-0.56838256	No	
row_39	SMS	10141	-1.2614421844482422	-0.58873165	No	
row_40	CBS	10362	-1.3932310342788696	-0.59900236	No	
row_41	MTR	10536	-1.5142279863357544	-0.60532135	No	
row_42	CTH	10718	-1.6359666585922241	-0.6117154	No	
row_43	CPS1	10991	-1.8819886445999146	-0.6237443	No	
row_44	GCSH	11561	-2.450496196746826	-0.65514797	No	
row_45	DDO	12023	-3.0513439178466797	-0.67611605	Yes	
row_46	GAD1	12031	-3.064833879470825	-0.66376245	Yes	
row_47	NOS3	12148	-3.313178062438965	-0.65835285	Yes	
row_48	GOT2	12241	-3.4793245792388916	-0.6504873	Yes	
row_49	ENOPH1	12249	-3.4879746437072754	-0.63635737	Yes	
row_50	PSPH	12410	-3.829859733581543	-0.6320026	Yes	
row_51	CAD	12501	-4.054720878601074	-0.6215749	Yes	
row_52	SLC25A12	12523	-4.110299587249756	-0.60585815	Yes	
row_53	FPGS	12587	-4.287480354309082	-0.592475	Yes	
row_54	ALDH4A1	12688	-4.582499027252197	-0.5805643	Yes	
row_55	AASDHPPT	12712	-4.662208557128906	-0.5626772	Yes	
row_56	GLUD1	12771	-4.849153518676758	-0.5465697	Yes	
row_57	MTAP	12897	-5.317735195159912	-0.53340423	Yes	
row_58	ATF4	12974	-5.673244476318359	-0.51515603	Yes	
row_59	RIMKLB	13037	-5.982646942138672	-0.49458316	Yes	
row_60	APIP	13070	-6.187558650970459	-0.4709519	Yes	
row_61	AADAT	13096	-6.387563705444336	-0.44596812	Yes	
row_62	MTHFD1	13197	-7.0123796463012695	-0.42385662	Yes	
row_63	GLDC	13209	-7.081973075866699	-0.39493182	Yes	
row_64	ALDH18A1	13322	-8.144922256469727	-0.36894506	Yes	
row_65	ALDH5A1	13361	-8.466371536254883	-0.33618677	Yes	
row_66	GSTZ1	13407	-8.987438201904297	-0.30175388	Yes	
row_67	SHMT2	13423	-9.255410194396973	-0.2639979	Yes	
row_68	UCP2	13454	-9.736507415771484	-0.22532131	Yes	
row_69	PYCR1	13479	-10.143732070922852	-0.18449552	Yes	
row_70	GOT1	13611	-14.007121086120605	-0.13529086	Yes	
row_71	SRR	13654	-16.69672203063965	-0.06827391	Yes	
row_72	DGLUCY	13661	-17.397552490234375	0.004322934	Yes	
