NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASF1A	3464	0.9670389890670776	-0.24277198	No	
row_1	EME2	3903	0.696050226688385	-0.26723897	No	
row_2	NBN	4300	0.5099175572395325	-0.2906561	No	
row_3	GEN1	4961	0.26459240913391113	-0.3360394	No	
row_4	RTEL1	5965	0.021052103489637375	-0.40914562	No	
row_5	BOD1L1	6292	-0.022564597427845	-0.43273625	No	
row_6	SETMAR	7059	-0.16951990127563477	-0.48690206	No	
row_7	BLM	7825	-0.3495921790599823	-0.5390396	No	
row_8	PCNA	8643	-0.6074808239936829	-0.592179	No	
row_9	SAMHD1	8678	-0.6188116669654846	-0.587946	No	
row_10	CENPS	8801	-0.65828937292099	-0.58971846	No	
row_11	BRCA2	9532	-0.954882800579071	-0.6327248	Yes	
row_12	MRE11	9607	-0.9846599698066711	-0.6274441	Yes	
row_13	RECQL	9631	-0.9956690669059753	-0.618315	Yes	
row_14	CDK9	9690	-1.025654673576355	-0.6114193	Yes	
row_15	FAM111A	9832	-1.0890017747879028	-0.6099044	Yes	
row_16	POLQ	9854	-1.1019353866577148	-0.5994752	Yes	
row_17	MMS22L	9899	-1.125767469406128	-0.5904689	Yes	
row_18	TRAIP	9989	-1.1781048774719238	-0.5841845	Yes	
row_19	DONSON	10085	-1.2306702136993408	-0.5777681	Yes	
row_20	DDX11	10214	-1.3051100969314575	-0.57295626	Yes	
row_21	ATRX	10257	-1.3297373056411743	-0.56158906	Yes	
row_22	RBBP8	10588	-1.551448941230774	-0.5688718	Yes	
row_23	MUS81	10614	-1.5689122676849365	-0.55366474	Yes	
row_24	FBH1	10715	-1.6346462965011597	-0.5432276	Yes	
row_25	PARP1	10738	-1.655289888381958	-0.5268633	Yes	
row_26	CARM1	10815	-1.7253862619400024	-0.5136861	Yes	
row_27	RAD51	10856	-1.753417730331421	-0.49757248	Yes	
row_28	FANCM	10912	-1.8044631481170654	-0.4820013	Yes	
row_29	DNA2	11173	-2.0468544960021973	-0.47878695	Yes	
row_30	BARD1	11191	-2.061793804168701	-0.45764333	Yes	
row_31	NUCKS1	11562	-2.45059871673584	-0.4580879	Yes	
row_32	TONSL	11564	-2.452056884765625	-0.43153703	Yes	
row_33	RAD50	11676	-2.5792932510375977	-0.41164735	Yes	
row_34	ETAA1	12087	-3.1814005374908447	-0.40708163	Yes	
row_35	CENPX	12340	-3.6527905464172363	-0.3858454	Yes	
row_36	ATR	12361	-3.7129337787628174	-0.34699336	Yes	
row_37	EME1	12559	-4.20044469833374	-0.31578946	Yes	
row_38	WRN	12642	-4.4369072914123535	-0.2736098	Yes	
row_39	RFWD3	12669	-4.519434452056885	-0.22643961	Yes	
row_40	ZRANB3	12948	-5.5187835693359375	-0.18684377	Yes	
row_41	BRCA1	12987	-5.759727478027344	-0.1270841	Yes	
row_42	PRIMPOL	13060	-6.137658596038818	-0.06570684	Yes	
row_43	SMARCAL1	13500	-10.48919677734375	0.016085234	Yes	
