NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAF1	1134	4.559476852416992	-0.05344191	No	
row_1	CDKN1A	2868	1.4485211372375488	-0.17095727	No	
row_2	CCND1	3780	0.7706723213195801	-0.23267265	No	
row_3	CCNE1	4148	0.5788583755493164	-0.25579193	No	
row_4	FAF1	4265	0.5254124402999878	-0.26087543	No	
row_5	HMGB2	4522	0.4094359278678894	-0.2769655	No	
row_6	E2F2	5220	0.18740423023700714	-0.32679576	No	
row_7	CDC25A	5386	0.14646925032138824	-0.3379289	No	
row_8	CCNB2	5947	0.024063246324658394	-0.37878624	No	
row_9	TFDP1	6460	-0.04873732104897499	-0.4159679	No	
row_10	TFDP2	6834	-0.11953188478946686	-0.44250962	No	
row_11	RFC3	7722	-0.3197849690914154	-0.5053955	No	
row_12	POLE	7887	-0.3670242130756378	-0.51502305	No	
row_13	SAP30	8479	-0.551392674446106	-0.5547261	No	
row_14	PCNA	8643	-0.6074808239936829	-0.56271887	No	
row_15	CCNB1	8671	-0.6149433255195618	-0.5607027	No	
row_16	CDC45	9064	-0.7526763677597046	-0.5845241	No	
row_17	RBBP4	9074	-0.756631076335907	-0.58026946	No	
row_18	NPAT	9135	-0.7822490334510803	-0.5795836	No	
row_19	TTK	9199	-0.8066234588623047	-0.57895917	No	
row_20	E2F3	9384	-0.8896484375	-0.5866574	No	
row_21	PRKDC	9823	-1.0860803127288818	-0.6116826	Yes	
row_22	HMGB1	9862	-1.104990005493164	-0.6072895	Yes	
row_23	RPA1	9875	-1.1141102313995361	-0.60093296	Yes	
row_24	CCND3	9890	-1.1214972734451294	-0.59467494	Yes	
row_25	RBBP7	9908	-1.128860354423523	-0.58858883	Yes	
row_26	TOP2A	9955	-1.1561226844787598	-0.5844496	Yes	
row_27	PLK4	10055	-1.2129324674606323	-0.583823	Yes	
row_28	CDKN1B	10188	-1.2880232334136963	-0.5851257	Yes	
row_29	POLD3	10230	-1.3167072534561157	-0.5795774	Yes	
row_30	H2AZ1	10264	-1.3344109058380127	-0.5733282	Yes	
row_31	WEE1	10355	-1.3904354572296143	-0.5708897	Yes	
row_32	MCM6	10386	-1.4074174165725708	-0.56394666	Yes	
row_33	RRM2	10411	-1.4305113554000854	-0.5564142	Yes	
row_34	HDAC1	10504	-1.4907063245773315	-0.553471	Yes	
row_35	SMC2	10530	-1.5054150819778442	-0.5455254	Yes	
row_36	SMC3	10579	-1.5447016954421997	-0.53900903	Yes	
row_37	CDK2	10598	-1.557758092880249	-0.53021073	Yes	
row_38	MSH6	10698	-1.623672604560852	-0.52691674	Yes	
row_39	MDM2	10775	-1.6825788021087646	-0.52155566	Yes	
row_40	POLA1	10795	-1.7063785791397095	-0.51186544	Yes	
row_41	CHEK1	10807	-1.7195276021957397	-0.50150394	Yes	
row_42	RFC4	11066	-1.9412089586257935	-0.50779265	Yes	
row_43	MYC	11165	-2.0330634117126465	-0.5017667	Yes	
row_44	BARD1	11191	-2.061793804168701	-0.49020773	Yes	
row_45	CCNE2	11202	-2.07218337059021	-0.4774827	Yes	
row_46	SIN3A	11342	-2.2147767543792725	-0.47327942	Yes	
row_47	POLE2	11687	-2.603271007537842	-0.48156703	Yes	
row_48	RRM1	11743	-2.673917055130005	-0.4682299	Yes	
row_49	RB1	11815	-2.7642734050750732	-0.45547777	Yes	
row_50	HLTF	11840	-2.7924365997314453	-0.43910053	Yes	
row_51	CCNA2	11870	-2.8362326622009277	-0.42280507	Yes	
row_52	MAPK13	11903	-2.886967897415161	-0.40639982	Yes	
row_53	CDT1	11929	-2.9158730506896973	-0.3892942	Yes	
row_54	MCM7	12058	-3.1171369552612305	-0.37842506	Yes	
row_55	SKP2	12164	-3.344088554382324	-0.36439756	Yes	
row_56	RPA3	12291	-3.5537638664245605	-0.35054636	Yes	
row_57	FANCG	12423	-3.862055778503418	-0.33505923	Yes	
row_58	TYMS	12481	-3.992102861404419	-0.31330785	Yes	
row_59	CDK4	12980	-5.712050914764404	-0.3126848	Yes	
row_60	SUV39H1	12986	-5.75742244720459	-0.27566049	Yes	
row_61	PRIM1	13061	-6.149176597595215	-0.24114546	Yes	
row_62	SMC1A	13158	-6.782528877258301	-0.2041285	Yes	
row_63	DHFR	13227	-7.191954135894775	-0.16240191	Yes	
row_64	PRMT2	13456	-9.768424987792969	-0.115661085	Yes	
row_65	CCDC6	13487	-10.300514221191406	-0.050963458	Yes	
row_66	CDK6	13497	-10.463714599609375	0.016332045	Yes	
