NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCA	8	28.073030471801758	0.19064748	Yes	
row_1	CYBB	43	21.58171844482422	0.33517882	Yes	
row_2	RAC1	97	17.703866958618164	0.45190766	Yes	
row_3	NCF1	165	14.764129638671875	0.5475893	Yes	
row_4	S100A8	262	12.4019775390625	0.62506336	Yes	
row_5	NCF2	295	11.807467460632324	0.7031592	Yes	
row_6	S100A9	300	11.735074043273926	0.7828057	Yes	
row_7	PRKCD	796	6.1543402671813965	0.7885972	Yes	
row_8	PRKCZ	1047	4.8949666023254395	0.80369323	Yes	
row_9	PRKCB	1091	4.751744747161865	0.83292305	Yes	
row_10	CYBA	1166	4.439097881317139	0.8577604	Yes	
row_11	NOXA1	1869	2.7280845642089844	0.82510304	No	
row_12	NCF4	3907	0.6945961713790894	0.68114847	No	
row_13	MAPK14	4397	0.4635290503501892	0.64861256	No	
row_14	RAC2	4781	0.3194667100906372	0.62283254	No	
row_15	PIK3R4	4789	0.3148001432418823	0.624466	No	
row_16	MAPK1	5281	0.17373700439929962	0.5898101	No	
row_17	PIN1	6165	-0.0048859440721571445	0.5253908	No	
row_18	PIK3C3	9413	-0.8970041275024414	0.29449382	No	
row_19	MAPK11	9939	-1.1474887132644653	0.26398927	No	
row_20	MAPK3	10851	-1.7503259181976318	0.209416	No	
