NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SQOR	2405	1.9097031354904175	-0.15495162	No	
row_1	MRI1	4655	0.361951619386673	-0.31522772	No	
row_2	ETHE1	4703	0.3439333736896515	-0.314945	No	
row_3	ADI1	4990	0.2525425851345062	-0.33309695	No	
row_4	CSAD	5120	0.2152155637741089	-0.34019044	No	
row_5	TXN2	6268	-0.019656632095575333	-0.42371303	No	
row_6	MTRR	7597	-0.28441208600997925	-0.51759034	No	
row_7	TSTD1	8299	-0.4912293255329132	-0.56346124	No	
row_8	TST	8319	-0.49608558416366577	-0.55949146	No	
row_9	CBS	10362	-1.3932310342788696	-0.6935199	No	
row_10	MTR	10536	-1.5142279863357544	-0.6897984	No	
row_11	CTH	10718	-1.6359666585922241	-0.6853465	No	
row_12	AHCY	11486	-2.3629908561706543	-0.7158239	No	
row_13	SUOX	11930	-2.9168972969055176	-0.716667	Yes	
row_14	GOT2	12241	-3.4793245792388916	-0.7017274	Yes	
row_15	ENOPH1	12249	-3.4879746437072754	-0.6645744	Yes	
row_16	MTAP	12897	-5.317735195159912	-0.6543853	Yes	
row_17	APIP	13070	-6.187558650970459	-0.6001271	Yes	
row_18	ADO	13075	-6.23642635345459	-0.53307664	Yes	
row_19	SLC25A10	13207	-7.07351016998291	-0.46625856	Yes	
row_20	GOT1	13611	-14.007121086120605	-0.34442648	Yes	
row_21	MPST	13616	-14.237226486206055	-0.19098137	Yes	
row_22	FMO1	13673	-18.382678985595703	0.0034312007	Yes	
