NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR1	1	32.55608367919922	0.044315793	Yes	
row_1	RYK	33	22.668807983398438	0.07294189	Yes	
row_2	CXCR2	40	21.777881622314453	0.102193765	Yes	
row_3	NINJ1	48	21.14810562133789	0.13051333	Yes	
row_4	GAB1	60	19.98063087463379	0.1569466	Yes	
row_5	CTSG	69	19.29831314086914	0.1826704	Yes	
row_6	RNASE2	87	18.03096580505371	0.2060036	Yes	
row_7	FLT1	93	17.884048461914062	0.23001996	Yes	
row_8	RAC1	97	17.703866958618164	0.25393787	Yes	
row_9	CCL2	98	17.5739688873291	0.27789953	Yes	
row_10	ADAM8	111	16.90247344970703	0.3000622	Yes	
row_11	TREM1	116	16.723405838012695	0.32256967	Yes	
row_12	RNASE3	159	14.889826774597168	0.33977947	Yes	
row_13	SEMA6B	171	14.702180862426758	0.3590157	Yes	
row_14	CCR2	179	14.336682319641113	0.37804806	Yes	
row_15	S100A12	183	14.182222366333008	0.39716431	Yes	
row_16	GPNMB	198	13.674105644226074	0.4147779	Yes	
row_17	JAML	259	12.468265533447266	0.4273608	Yes	
row_18	S100A8	262	12.4019775390625	0.44412333	Yes	
row_19	GPR183	273	12.214827537536621	0.46004173	Yes	
row_20	S100A9	300	11.735074043273926	0.47412807	Yes	
row_21	ANXA1	316	11.373867988586426	0.48853174	Yes	
row_22	TRPM4	346	10.622767448425293	0.5008806	Yes	
row_23	SLAMF8	382	10.214643478393555	0.51223123	Yes	
row_24	C5AR1	405	9.871042251586914	0.5240705	Yes	
row_25	HBEGF	471	8.952507972717285	0.53149164	Yes	
row_26	CCR9	478	8.841407775878906	0.54310495	Yes	
row_27	FCER1G	503	8.590072631835938	0.5530504	Yes	
row_28	IL6R	538	8.101214408874512	0.56159306	Yes	
row_29	PTGDR2	562	7.860594272613525	0.5706175	Yes	
row_30	PIP5K1C	578	7.693892955780029	0.5800036	Yes	
row_31	PLAU	676	6.987455368041992	0.58238953	Yes	
row_32	CORO1A	698	6.841615200042725	0.5901719	Yes	
row_33	CX3CR1	722	6.657642364501953	0.5975561	Yes	
row_34	SLIT2	743	6.484004974365234	0.60492444	Yes	
