NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEINOGENIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0170039	PROTEINOGENIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0170039	Details ...	73	-0.68892586	-2.0981052	0.0	0.001806672	0.002	1699	tags=38%, list=12%, signal=44%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	Details ...	83	-0.6465162	-2.0406845	0.0	0.004019743	0.009	2513	tags=37%, list=18%, signal=45%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	Details ...	83	-0.64682686	-2.005897	0.0	0.0050513884	0.017	2513	tags=37%, list=18%, signal=45%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	103	-0.6138142	-1.9972364	0.0	0.005119998	0.023	2513	tags=37%, list=18%, signal=45%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.3	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.3	Details ...	89	-0.6181303	-1.9480399	0.0	0.013186797	0.072	2513	tags=38%, list=18%, signal=46%	
AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	Details ...	171	-0.56557286	-1.94395	0.0	0.012034237	0.079	2273	tags=38%, list=17%, signal=45%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	156	-0.5714685	-1.9382422	0.0	0.011969517	0.091	3899	tags=58%, list=28%, signal=80%	
L-AMINO ACID METABOLIC PROCESS%GOBP%GO:0170033	L-AMINO ACID METABOLIC PROCESS%GOBP%GO:0170033	Details ...	76	-0.6335451	-1.934454	0.0	0.011916716	0.101	1699	tags=37%, list=12%, signal=42%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	135	-0.56482685	-1.9092882	0.0	0.01899585	0.169	2513	tags=33%, list=18%, signal=40%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	Details ...	83	-0.616978	-1.9078081	0.0	0.017361948	0.171	2513	tags=39%, list=18%, signal=47%	
