NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
LEUKOCYTE CHEMOTAXIS%GOBP%GO:0030595	LEUKOCYTE CHEMOTAXIS%GOBP%GO:0030595	Details ...	55	0.79607016	2.2095542	0.0	0.0	0.0	1065	tags=47%, list=8%, signal=51%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	Details ...	102	0.72390985	2.1913958	0.0	0.0	0.0	2083	tags=43%, list=15%, signal=50%	
CELL CHEMOTAXIS%GOBP%GO:0060326	CELL CHEMOTAXIS%GOBP%GO:0060326	Details ...	88	0.7218042	2.1517918	0.0	0.0	0.0	1338	tags=41%, list=10%, signal=45%	
LEUKOCYTE MIGRATION%GOBP%GO:0050900	LEUKOCYTE MIGRATION%GOBP%GO:0050900	Details ...	97	0.697766	2.108144	0.0	0.0	0.0	1470	tags=39%, list=11%, signal=44%	
INFLAMMATORY RESPONSE%GOBP%GO:0006954	INFLAMMATORY RESPONSE%GOBP%GO:0006954	Details ...	166	0.6491831	2.0971098	0.0	2.1646812E-4	0.001	1423	tags=35%, list=10%, signal=39%	
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	Details ...	38	0.79846495	2.0691788	0.0	1.803901E-4	0.001	1065	tags=47%, list=8%, signal=51%	
LOCOMOTION%GOBP%GO:0040011	LOCOMOTION%GOBP%GO:0040011	Details ...	140	0.65198624	2.0687013	0.0	1.5462008E-4	0.001	1338	tags=34%, list=10%, signal=38%	
CHEMOTAXIS%GOBP%GO:0006935	CHEMOTAXIS%GOBP%GO:0006935	Details ...	138	0.6533381	2.0619442	0.0	1.3529258E-4	0.001	1338	tags=35%, list=10%, signal=38%	
TAXIS%GOBP%GO:0042330	TAXIS%GOBP%GO:0042330	Details ...	138	0.6533381	2.0490584	0.0	1.2026006E-4	0.001	1338	tags=35%, list=10%, signal=38%	
MYELOID LEUKOCYTE ACTIVATION%GOBP%GO:0002274	MYELOID LEUKOCYTE ACTIVATION%GOBP%GO:0002274	Details ...	63	0.732726	2.0349243	0.0	2.1785081E-4	0.002	1391	tags=43%, list=10%, signal=47%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 65%1474228	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 65%1474228	Details ...	55	0.72986573	2.0264862	0.0	1.980462E-4	0.002	1212	tags=38%, list=9%, signal=42%	
HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION	HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION	Details ...	45	0.73907155	1.9854453	0.0018552876	8.1571675E-4	0.009	2250	tags=53%, list=16%, signal=64%	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.9	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.9	Details ...	71	0.6795114	1.9819738	0.0	0.0010053406	0.012	1456	tags=37%, list=11%, signal=41%	
DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	Details ...	29	0.7867891	1.9441037	0.0	0.0029405283	0.037	2083	tags=55%, list=15%, signal=65%	
POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	Details ...	34	0.76374495	1.9424323	0.0	0.0028902867	0.039	1116	tags=32%, list=8%, signal=35%	
RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.8	RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.8	Details ...	21	0.8577604	1.9414657	0.0	0.002709644	0.039	1166	tags=52%, list=8%, signal=57%	
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	Details ...	33	0.7651127	1.9301888	0.0	0.0037635453	0.058	1654	tags=39%, list=12%, signal=45%	
POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	Details ...	38	0.74032557	1.9277617	0.0	0.0039167884	0.062	1116	tags=29%, list=8%, signal=31%	
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	Details ...	58	0.68951476	1.9258887	0.0	0.003939285	0.066	1483	tags=40%, list=11%, signal=44%	
CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	Details ...	28	0.79489005	1.9257343	0.0	0.0037959495	0.067	946	tags=43%, list=7%, signal=46%	
GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621	GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621		26	0.7973041	1.9236965	0.0	0.003923556	0.073	1065	tags=50%, list=8%, signal=54%	
NUCLEOTIDE BINDING OLIGOMERIZATION DOMAIN NOD PATHWAY%WIKIPATHWAYS_20240210%WP1433%HOMO SAPIENS	NUCLEOTIDE BINDING OLIGOMERIZATION DOMAIN NOD PATHWAY%WIKIPATHWAYS_20240210%WP1433%HOMO SAPIENS		27	0.7861572	1.9206005	0.0	0.0042365217	0.082	1217	tags=37%, list=9%, signal=41%	
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 65%6783783	INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 65%6783783		22	0.8294652	1.9118863	0.0	0.005043754	0.101	1295	tags=59%, list=9%, signal=65%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229		88	0.64314055	1.910812	0.0	0.004923796	0.103	1210	tags=31%, list=9%, signal=33%	
MONONUCLEAR CELL MIGRATION%GOBP%GO:0071674	MONONUCLEAR CELL MIGRATION%GOBP%GO:0071674		46	0.7198149	1.9106156	0.0	0.0048129484	0.105	1470	tags=48%, list=11%, signal=53%	
GRANULOCYTE MIGRATION%GOBP%GO:0097530	GRANULOCYTE MIGRATION%GOBP%GO:0097530		28	0.783967	1.9049718	0.0	0.0052104415	0.118	1065	tags=46%, list=8%, signal=50%	
