NAME	TITLE	SCORE	
CSF3R		40.372818	
CCR1		32.556084	
CAMK1		31.839209	
CITED4		31.473831	
CD4		31.378786	
MMP14		31.003534	
RGS18		28.518745	
GCFC2		28.294235	
PRKCA		28.07303	
NLRP12		27.711126	
MMP9		27.202297	
KLF7		27.148302	
SIRPB1		27.13314	
SERPINF1		27.128637	
DAZL		26.354671	
CLEC5A		26.233774	
LOC102723663		25.34288	
H1-0		25.038485	
PLXDC2		24.587984	
MCEMP1		24.207977	
CCND2		24.188173	
CEBPD		24.186613	
RRP36		24.10104	
MEFV		23.971895	
C5AR2		23.809496	
S100P		23.624468	
HEXIM1		23.363699	
DCAF4L1		23.333326	
IGLC2		23.32994	
B3GNT8		23.23296	
RETN		23.077618	
LMNA		23.051275	
KIF17		22.79187	
RYK		22.668808	
GPR141		22.6671	
VNN2		22.361904	
P2RY2		22.299976	
CFP		22.212328	
ALOX5AP		22.21156	
CD1D		21.867685	
CXCR2		21.777882	
TNFSF14		21.643627	
TGFBI		21.62977	
CYBB		21.581718	
FUCA2		21.434803	
IGLV3-9		21.415545	
NIBAN1		21.413616	
SLC2A9		21.332125	
NINJ1		21.148106	
FILIP1L		21.06321	
TNFAIP8		20.98895	
SERPINB2		20.970263	
KCNN2		20.960817	
DLEU7		20.889153	
SGCB		20.803913	
INAVA		20.362505	
LGR4		20.263597	
RNASE6		20.156487	
NME3		20.153543	
KRT81		20.07874	
GAB1		19.98063	
KCNE3		19.980581	
DHRS9		19.952509	
CYSTM1		19.867243	
MCTP1		19.765497	
ARHGAP32		19.733624	
TPCN1		19.562748	
RAB7B		19.465675	
OLAH		19.326963	
CTSG		19.298313	
SOWAHD		19.27733	
PARP8		18.977703	
SERTAD1		18.92369	
CHI3L1		18.885237	
STK17B		18.857754	
ASTN1		18.812637	
TKTL1		18.724236	
ADGRA2		18.70927	
SH3KBP1		18.612925	
DOK2		18.49759	
STAR		18.496908	
RITA1		18.284782	
MMP25		18.27001	
MS4A3		18.247858	
SLC22A4		18.158339	
GRAP2		18.135218	
NAV3		18.104357	
RNASE2		18.030966	
NUAK2		17.963675	
LOC112268317		17.960627	
JAG1		17.952467	
HOXA11		17.927065	
FAM177B		17.908821	
FLT1		17.884048	
NDFIP2		17.859003	
CORO2A		17.773527	
IER5L		17.759047	
RAC1		17.703867	
CCL2		17.573969	
PSPC1		17.5246	
LAT		17.517574	
DOCK6		17.480291	
SKI		17.458815	
LOC107985437		17.380575	
PNMA5		17.356743	
TLR7		17.34882	
STARD8		17.299845	
VCAN		17.188568	
ADAMTSL4		17.10141	
AKIRIN1		17.086666	
TNFRSF1B		17.005346	
ADAM8		16.902473	
SCCPDH		16.875896	
LOC643802		16.855478	
OCIAD2		16.808779	
GPM6B		16.803019	
TREM1		16.723406	
LAMB3		16.717373	
SATB1		16.71239	
ARID3A		16.650703	
AKIRIN2		16.611217	
MYBPH		16.553642	
C3		16.543947	
TFEC		16.526922	
BEGAIN		16.523552	
CHST13		16.4611	
TNFRSF17		16.40654	
ZCCHC24		16.390087	
FURIN		16.376188	
KIRREL2		16.361097	
CDC42SE1		16.345505	
DEDD2		16.297823	
OPLAH		16.110338	
SIGLEC7		16.054174	
GGT7		15.945818	
MYOF		15.924226	
C6orf223		15.921355	
ZNF516		15.7762165	
FGL2		15.739464	
MPO		15.616722	
PRAM1		15.604891	
FCER2		15.534648	
RTL8C		15.473045	
TUBB6		15.453211	
RET		15.449551	
SOBP		15.433995	
PSAP		15.404762	
ISL2		15.314866	
RGL4		15.249139	
DBNDD1		15.126322	
CILP2		15.098954	
FSD1		15.070007	
KCNK5		15.031624	
ATF7IP2		15.031556	
FN1		15.027213	
IGLC3		15.022095	
CDH17		14.962313	
